Main food description,GCAM,Energy (kcal),Protein (g),Carbohydrate (g),"Sugars, total
(g)","Fiber, total dietary (g)",Total Fat (g),"Fatty acids, total saturated (g)","Fatty acids, total monounsaturated (g)","Fatty acids, total polyunsaturated (g)",Cholesterol (mg),Retinol (mcg),"Vitamin A, RAE (mcg_RAE)","Carotene, alpha (mcg)","Carotene, beta (mcg)","Cryptoxanthin, beta (mcg)",Lycopene (mcg),Lutein + zeaxanthin (mcg),Thiamin (mg),Riboflavin (mg),Niacin (mg),Vitamin B-6 (mg),Folic acid (mcg),"Folate, food (mcg)","Folate, DFE (mcg_DFE)","Folate, total (mcg)","Choline, total (mg)",Vitamin B-12 (mcg),"Vitamin B-12, added
(mcg)",Vitamin C (mg),Vitamin D (D2 + D3) (mcg),Vitamin E (alpha-tocopherol) (mg),"Vitamin E, added
(mg)",Vitamin K (phylloquinone) (mcg),Calcium (mg),Phosphorus (mg),Magnesium (mg),"Iron
(mg)","Zinc
(mg)",Copper (mg),Selenium (mcg),Potassium (mg),Sodium (mg),Caffeine (mg),Theobromine (mg),Alcohol (g),"4:0
(g)","6:0
(g)","8:0
(g)","10:0
(g)","12:0
(g)","14:0
(g)","16:0
(g)","18:0
(g)","16:1
(g)","18:1
(g)","20:1
(g)","22:1
(g)","18:2
(g)","18:3
(g)","18:4
(g)","20:4
(g)","20:5 n-3
(g)","22:5 n-3
(g)","22:6 n-3
(g)","Water
(g)"
"Peruvian beans, from dried",Legumes,192,8.51,23.49,0.32,9.7,7.51,1.148,2.71,3.052,0,0,0,0,0,0,0,0,0.165,0.091,0.625,0.114,0,72,72,72,32.7,0,0,1.6,0,1.93,0,10.4,58,170,69,2.32,0.98,0.173,1.2,302,220,0,0,0,0,0,0,0,0,0.004,0.887,0.206,0.023,2.638,0.045,0,2.546,0.502,0,0,0,0,0,58.53
"Mung beans, cooked",Legumes,156,6.52,17.8,1.86,7.1,6.86,0.997,2.673,2.738,0,0,1,0,13,0,0,0,0.145,0.054,0.509,0.059,0,140,140,140,27.3,0,0,0.9,0,1.19,0,9.6,25,92,45,1.31,0.78,0.145,2.3,247,218,0,0,0,0,0,0,0,0,0.003,0.72,0.212,0.023,2.601,0.045,0,2.421,0.314,0,0,0,0,0,67.53
"Blackeyed peas, from dried",Legumes,166,7.18,19.29,3.07,6,7,1.017,2.664,2.828,0,0,1,0,8,0,0,0,0.178,0.049,0.437,0.088,0,184,184,184,29.9,0,0,0.4,0,1.31,0,8.7,23,145,49,2.34,1.2,0.249,2.3,258,220,0,0,0,0,0,0,0,0,0.004,0.742,0.21,0.024,2.584,0.046,0.005,2.443,0.382,0,0,0,0,0,65.1
"Chickpeas, from dried, no added fat",Legumes,163,8.81,27.26,4.77,7.6,2.58,0.267,0.58,1.149,0,0,1,0,16,0,0,0,0.11,0.059,0.497,0.131,0,162,162,162,42.5,0,0,1.2,0,0.35,0,4,49,167,48,2.87,1.52,0.35,3.7,289,238,0,0,0,0,0,0,0,0,0.004,0.214,0.037,0.005,0.575,0,0,1.106,0.043,0,0,0,0,0,59.85
"Split peas, from dried, no added fat",Legumes,117,8.29,20.97,2.88,8.2,0.39,0.054,0.081,0.164,0,0,0,0,4,0,0,0,0.179,0.053,0.84,0.045,0,61,61,61,32.6,0,0,0.4,0,0.03,0,5,14,98,36,1.28,0.99,0.18,0.6,360,233,0,0,0,0,0,0,0,0.001,0.001,0.042,0.01,0,0.077,0.003,0,0.136,0.028,0,0,0,0,0,69.08
Wasabi peas,Legumes,432,14.11,62.2,14.11,3.8,14.11,5.29,5.792,1.951,0,0,77,42,901,0,0,4930,0.614,0.314,5.06,0.548,0,138,138,138,57.9,0,0,0,0,2.31,0,50.3,123,270,102,3.8,3.31,0.444,7.2,732,300,0,0,0,0,0,0,0,0.01,0.105,4.672,0.461,0.047,5.73,0.015,0,1.82,0.131,0,0,0,0,0,6.93
"Lentils, from dried, no added fat",Legumes,115,8.97,20.01,1.79,7.9,0.38,0.053,0.064,0.174,0,0,0,0,5,0,0,0,0.16,0.069,1.001,0.168,0,171,171,171,32.5,0,0,1.4,0,0.11,0,1.7,19,179,36,3.31,1.26,0.25,2.8,367,233,0,0,0,0,0,0,0,0,0.001,0.045,0.005,0.001,0.061,0.002,0,0.136,0.037,0,0,0,0,0,69.23
Dal,Legumes,145,8.6,19.17,1.71,7.5,4.31,2.508,1.201,0.313,10,33,33,0,12,0,0,0,0.161,0.07,1.01,0.17,0,172,172,172,32,0,0,1.4,0,0.22,0,2,19,172,34,3.17,1.21,0.239,2.7,352,309,0,0,0,0.128,0.076,0.044,0.099,0.111,0.398,1.081,0.483,0.089,1.051,0.002,0,0.22,0.093,0,0,0,0,0,66.34
"Edamame, cooked",Legumes,140,11.54,8.63,2.12,5,7.58,1.271,2.114,2.844,2,11,26,0,174,8,0,1567,0.184,0.15,0.886,0.113,0,286,286,286,54.7,0,0,5.3,0,1,0,28.1,61,164,62,2.2,1.33,0.334,0.8,422,127,0,0,0,0.018,0.013,0.007,0.017,0.02,0.068,0.791,0.276,0.018,2.064,0.021,0.001,2.406,0.432,0,0.001,0.003,0,0,70.77
"Peanuts, boiled",Legumes,318,13.5,21.26,2.47,8.8,22.01,3.055,10.921,6.956,0,0,0,0,0,0,0,0,0.259,0.063,5.259,0.152,0,75,75,75,32.7,0,0,0,0,4.1,0,0,55,198,102,1.01,1.83,0.499,4.4,180,751,0,0,0,0,0,0,0,0,0.011,2.304,0.492,0.004,10.62,0.296,0,6.954,0.001,0,0,0,0,0,41.78
"Peanuts, unroasted",Legumes,567,25.8,16.13,4.72,8.5,49.24,6.279,24.426,15.558,0,0,0,0,0,0,0,0,0.64,0.135,12.066,0.348,0,240,240,240,52.5,0,0,0,0,8.33,0,0,92,376,168,4.58,3.27,1.144,7.2,705,18,0,0,0,0,0,0,0,0,0.025,5.154,1.1,0.009,23.756,0.661,0,15.555,0.003,0,0,0,0,0,6.5
"Peanuts, roasted, unsalted",Legumes,599,28.03,15.26,4.18,9.4,52.5,8.686,25.976,15.292,0,0,0,0,0,0,0,0,0.085,0.089,13.825,0.461,0,120,120,120,55,0,0,0.8,0,6.91,0,0,61,397,176,1.52,3.28,0.533,3.3,726,6,0,0,0,0,0,0.038,0.038,0.038,0.038,5.045,1.402,0.038,25.212,0.612,0,15.103,0.038,0,0.038,0,0,0,1.45
"Peanuts, dry roasted, unsalted",Legumes,587,24.35,21.26,4.9,8.4,49.66,7.723,26.181,9.773,0,0,0,0,0,0,0,0,0.152,0.197,14.355,0.466,0,97,97,97,64.6,0,0,0,0,4.93,0,0,58,363,178,1.58,2.77,0.428,9.3,634,6,0,0,0,0,0,0,0,0,0.016,3.982,1.2,0.031,25.435,0.627,0.055,9.715,0.026,0,0.016,0,0,0,1.81
"Cocoa, dry powder, unsweetened",MiscCrop,228,19.6,57.9,1.75,37,13.7,8.97,4.57,0.44,0,0,0,0,0,0,0,38,0.078,0.241,2.18,0.118,0,32,32,32,12,0,0,0,0,0.1,0,2.5,128,734,499,13.9,6.81,3.79,14.3,1520,21,230,2060,0,0,0,0,0,0,0.02,3.69,4.25,0,4.57,0,0,0.44,0,0,0,0,0,0,3
"Beverages, coffee, brewed, prepared with tap water",MiscCrop,1,0.12,0,0,0,0.02,0.002,0.015,0.001,0,0,0,0,0,0,0,0,0.014,0.076,0.191,0.001,0,2,2,2,2.6,0,0,0,0,0.01,0,0.1,2,3,3,0.01,0.02,0.002,0,49,2,40,0,0,0,0,0,0,0,0,0.002,0,0,0,0,0,0.001,0,0,0,0,0,0,99.4
"Beverages, tea, green, brewed, regular",MiscCrop,1,0.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007,0.058,0.03,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.02,0.01,0.004,0,8,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.9
"Beverages, tea, herb, brewed, chamomile",MiscCrop,1,0,0.2,0,0,0,0.002,0.001,0.005,0,0,1,0,12,0,0,0,0.01,0.004,0,0,0,1,1,1,0,0,0,0,0,0,0,0,2,0,1,0.08,0.04,0.015,0,9,1,0,0,0,0,0,0,0,0,0,0.002,0,0,0.001,0,0,0.002,0.003,0,0,0,0,0,99.7
"Almonds, unroasted",NutsSeeds,579,21.15,21.55,4.35,12.5,49.93,3.802,31.551,12.329,0,0,0,0,1,0,0,1,0.205,1.138,3.618,0.137,0,44,44,44,52.1,0,0,0,0,25.63,0,0,269,481,270,3.71,3.12,1.031,4.1,733,1,0,0,0,0,0,0,0,0,0.003,3.083,0.704,0.239,31.294,0.005,0,12.324,0.003,0,0,0,0,0,4.41
"Almonds, unsalted",NutsSeeds,607,20.33,20.38,4.71,10.6,53.96,4.379,33.293,13.774,0,0,0,0,1,0,0,1,0.075,1.161,3.528,0.132,0,53,53,53,50.5,0,0,0,0,23.67,0,3.3,260,457,271,3.62,3.21,1.066,1.9,692,3,0,0,0,0,0,0,0,0,0.02,3.544,0.77,0.262,32.948,0.028,0,13.622,0.15,0,0,0,0,0,2.34
Brazil nuts,NutsSeeds,659,14.32,11.74,2.33,7.5,67.1,16.134,23.879,24.399,0,0,0,0,0,0,0,0,0.617,0.035,0.295,0.101,0,22,22,22,28.8,0,0,0.7,0,5.65,0,0,160,725,376,2.43,4.06,1.743,1917,659,3,0,0,0,0,0,0,0,0,0.046,9.626,6.244,0.214,23.594,0.027,0,24.363,0.036,0,0,0,0,0,3.42
"Cashews, unroasted",NutsSeeds,574,15.31,32.69,5.01,3,46.35,9.157,27.317,7.836,0,0,0,0,0,0,0,23,0.2,0.2,1.4,0.256,0,69,69,69,61,0,0,0,0,0.92,0,34.7,45,490,260,6,5.6,2.22,11.7,565,16,0,0,0,0,0,0.132,0.132,0.784,0.347,4.351,2.972,0.318,26.808,0.139,0,7.66,0.161,0,0,0,0,0,1.7
"Cashews, unsalted",NutsSeeds,584,14.85,31.71,4.86,2.9,47.96,9.292,27.707,8.808,0,0,0,0,0,0,0,22,0.194,0.194,1.358,0.248,0,67,67,67,59.2,0,0,0,0,1.38,0,36.9,44,475,252,5.82,5.43,2.153,11.3,548,16,0,0,0,0,0,0.128,0.128,0.76,0.338,4.517,2.97,0.319,27.18,0.156,0,8.496,0.297,0,0,0,0,0,1.65
Chestnuts,NutsSeeds,245,3.17,52.96,10.6,5.1,2.2,0.414,0.759,0.869,0,0,1,0,14,0,0,13,0.243,0.175,1.342,0.497,0,70,70,70,1.5,0,0,26,0,0.5,0,7.8,29,107,33,0.91,0.57,0.507,1.2,592,2,0,0,0,0,0,0,0,0,0.01,0.373,0.021,0.021,0.728,0.01,0,0.776,0.093,0,0,0,0,0,40.48
"Coconut, fresh",NutsSeeds,354,3.33,15.23,6.23,9,33.49,29.698,1.425,0.366,0,0,0,0,0,0,0,0,0.066,0.02,0.54,0.054,0,26,26,26,12.1,0,0,3.3,0,0.24,0,0.2,14,113,32,2.43,1.1,0.435,10.1,356,20,0,0,0,0,0.191,2.346,1.864,14.858,5.866,2.839,1.734,0,1.425,0,0,0.366,0,0,0,0,0,0,46.99
Hazelnuts,NutsSeeds,628,14.95,16.7,4.34,9.7,60.75,4.464,45.652,7.92,0,0,1,3,11,0,0,92,0.643,0.113,1.8,0.563,0,113,113,113,45.6,0,0,6.3,0,15.03,0,14.2,114,290,163,4.7,2.45,1.725,2.4,680,0,0,0,0,0,0,0,0,0,0,3.097,1.265,0.116,45.405,0.131,0,7.833,0.087,0,0,0,0,0,5.31
Macadamia nuts,NutsSeeds,716,7.79,12.83,4.14,8,76.08,11.947,59.275,1.498,0,0,0,0,0,0,0,0,0.71,0.087,2.274,0.359,0,10,10,10,44.6,0,0,0.7,0,0.57,0,0,70,198,118,2.65,1.29,0.57,11.7,363,353,0,0,0,0,0,0,0,0.075,0.668,5.932,2.28,12.725,44.377,1.925,0.237,1.303,0.196,0,0,0,0,0,1.61
"Pecans, unroasted",NutsSeeds,691,9.17,13.86,3.97,9.6,71.97,6.18,40.801,21.614,0,0,3,0,29,9,0,17,0.66,0.13,1.167,0.21,0,22,22,22,40.5,0,0,1.1,0,1.4,0,3.5,70,277,121,2.53,4.53,1.2,3.8,410,0,0,0,0,0,0,0,0,0,0,4.366,1.745,0,40.594,0.207,0,20.628,0.986,0,0,0,0,0,3.52
"Pecans, unsalted",NutsSeeds,697,8.9,13.44,3.85,9.3,72.81,6.404,40.786,22.173,0,0,3,0,28,9,0,16,0.64,0.126,1.132,0.204,0,21,21,21,39.3,0,0,1.1,0,1.84,0,6.7,68,269,117,2.46,4.39,1.164,3.7,398,0,0,0,0,0,0,0,0,0,0.002,4.532,1.78,0.01,40.553,0.222,0,21.075,1.097,0,0,0,0,0,3.41
Pine nuts,NutsSeeds,673,13.69,13.08,3.59,3.7,68.37,4.899,18.764,34.071,0,0,1,0,17,0,0,9,0.364,0.227,4.387,0.094,0,34,34,34,55.8,0,0,0.8,0,9.33,0,53.9,16,575,251,5.53,6.45,1.324,0.7,597,2,0,0,0,0,0,0,0,0,0,3.212,1.39,0.017,17.947,0.801,0,33.15,0.164,0,0,0,0,0,2.28
"Pistachio nuts, unsalted",NutsSeeds,582,20.42,27.43,7.51,10,47.44,5.886,25.007,14.153,0,0,13,0,154,0,0,1125,0.674,0.227,1.332,1.088,0,49,49,49,69.3,0,0,2.9,0,2.59,0,16.1,104,455,106,3.91,2.27,1.254,9.7,977,6,0,0,0,0,0,0,0,0,0.013,5.141,0.629,0.461,24.385,0.124,0.005,13.797,0.346,0,0.005,0,0,0,1.79
"Walnuts, excluding honey roasted",NutsSeeds,654,15.23,13.71,2.61,6.7,65.21,6.126,8.933,47.174,0,0,1,0,12,0,0,9,0.341,0.15,1.125,0.537,0,98,98,98,39.2,0,0,1.3,0,0.7,0,2.7,98,346,158,2.91,3.09,1.586,4.9,441,2,0,0,0,0,0,0,0,0,0,4.404,1.659,0,8.799,0.134,0,38.093,9.08,0,0,0,0,0,4.07
"Pumpkin seeds, unsalted",NutsSeeds,574,29.84,14.71,1.29,6.5,49.05,8.544,15.734,19.856,0,0,0,1,5,0,0,30,0.07,0.15,4.43,0.1,0,57,57,57,63,0,0,1.8,0,0.56,0,4.5,52,1174,550,8.07,7.64,1.275,9.4,788,18,0,0,0,0,0.007,0.002,0.002,0.006,0.058,5.191,2.913,0.044,15.626,0.053,0.001,19.59,0.111,0,0.123,0,0,0,2.03
"Sunflower seeds, plain, unsalted",NutsSeeds,582,19.33,24.07,2.73,11.1,49.8,5.219,9.505,32.884,0,0,0,0,5,0,0,0,0.106,0.246,7.042,0.804,0,237,237,237,55.1,0,0,1.4,0,26.1,0,2.7,70,1155,129,3.8,5.29,1.83,79.3,850,3,0,0,0,0,0,0,0,0,0.051,2.808,2.212,0.049,9.399,0.048,0,32.782,0.069,0,0,0,0,0,1.2
Sesame seeds,NutsSeeds,631,20.45,11.73,0.48,11.6,61.21,9.055,23.924,25.491,0,0,3,0,40,0,0,0,0.699,0.09,5.8,0.4,0,115,115,115,25.6,0,0,0,0,1.68,0,0,60,667,345,6.36,6.73,1.4,34.4,370,47,0,0,0,0,0,0,0,0,0,5.273,3.311,0.105,23.595,0.124,0.065,25.227,0.263,0,0,0,0,0,3.75
Flax seeds,NutsSeeds,534,18.29,28.88,1.55,27.3,42.16,3.663,7.527,28.73,0,0,0,0,0,0,0,651,1.644,0.161,3.08,0.473,0,87,87,87,78.7,0,0,0.6,0,0.31,0,4.3,255,642,392,5.73,4.34,1.22,25.4,813,30,0,0,0,0,0,0,0,0,0.008,2.165,1.33,0.024,7.359,0.067,0.013,5.903,22.813,0,0,0,0,0,6.96
Chia seeds,NutsSeeds,486,16.54,42.12,1.55,34.4,30.74,3.33,2.309,23.665,0,0,0,0,0,0,0,0,0.62,0.17,8.83,0.473,0,49,49,49,78.7,0,0,1.6,0,0.5,0,4.3,631,860,335,7.72,4.58,0.924,55.2,407,16,0,0,0,0,0,0,0,0,0.03,2.17,0.912,0.029,2.203,0.046,0.013,5.835,17.83,0,0,0,0,0,5.8
"Margarine, stick",OilCrop,717,0.16,0.7,0,0,80.71,15.189,38.877,24.302,0,768,819,0,610,0,0,0,0.01,0.037,0.023,0.009,0,1,1,1,12.4,0.1,0,0.2,3.7,9,0,93,3,5,3,0.06,0,0,0,18,751,0,0,0,0,0,0,0,0,0.046,8.433,6.174,0.045,38.675,0.133,0,22.252,2.04,0,0,0,0.006,0,16.52
"Vegetable oil, NFS",OilCrop,900,0,0,0,0,100,13.662,40.315,40.252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,16.18,0,109.3,0,0,0,0.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0.051,9.886,2.916,0.348,39.212,0.691,0,35.514,4.691,0,0.003,0,0,0,0
Almond oil,OilCrop,884,0,0,0,0,100,8.2,69.9,17.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0,39.2,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.5,1.7,0.6,69.4,0,0,17.4,0,0,0,0,0,0,0
Coconut oil,OilCrop,895,0,0.84,0,0,99.1,82.5,6.31,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0.11,0,0.6,1,0,0,0.05,0.02,0,0,0,0,0,0,0,0.009,0.477,6.8,5.39,41.8,16.7,8.64,2.52,0.016,6.27,0.041,0,1.69,0.02,0,0,0,0,0,0.03
Corn oil,OilCrop,900,0,0,0,0,100,13.4,27.7,52.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,22.6,0,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.034,11.1,1.58,0.091,27.2,0.365,0,51.9,1.04,0,0,0,0,0,0
Cottonseed oil,OilCrop,884,0,0,0,0,100,25.9,17.8,51.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,35.3,0,24.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,22.7,2.3,0.8,17,0,0,51.5,0.2,0,0.1,0,0,0,0
Flaxseed oil,OilCrop,884,0.11,0,0,0,99.98,8.976,18.438,67.849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0.47,0,9.3,1,1,0,0,0.07,0,0,0,0,0,0,0,0,0,0,0.008,0.018,0.077,5.109,3.367,0.06,18.316,0,0.031,14.327,53.368,0,0,0,0,0,0.12
Olive oil,OilCrop,900,0,0,0,0,100,15.52,68.42,9.469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,20.88,0,26,1,0,0,0.56,0,0,0,1,2,0,0,0,0.001,0,0.001,0.001,0.001,0.013,12.19,2.617,1.072,66.99,0.284,0.001,8.817,0.638,0,0.013,0,0,0,0
Peanut oil,OilCrop,900,0,0,0,0,100,16.2,57.1,19.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,15.23,0,4.2,0,0,0,0.03,0.01,0,0,0,0,0,0,0,0.004,0,0.004,0.006,0.017,0.04,8.26,2.58,0.075,55.5,1.41,0.136,19.7,0.318,0,0.003,0.001,0,0,0
Canola oil,OilCrop,900,0,0,0,0,100,6.61,62.6,25.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,17.3,0,71.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.047,3.86,1.66,0.205,60.3,1.89,0,17.8,7.45,0,0,0,0,0,0
Safflower oil,OilCrop,900,0,0,0,0,100,7.65,71.6,13.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,45.95,0,5.3,0,0,0,0,0,0,0,0,0,0,0,0,0.004,0,0.002,0.004,0.004,0.074,4.66,1.96,0.092,71,0.323,0.012,13.7,0.15,0,0,0.001,0,0,0
Sesame oil,OilCrop,884,0,0,0,0,100,14.2,39.7,41.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,1.4,0,13.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.9,4.8,0.2,39.3,0.2,0,41.3,0.3,0,0,0,0,0,0
Soybean oil,OilCrop,900,0,0,0,0,100,14.9,22.1,57.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,12.2,0,183.9,0,0,0,0.05,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0.075,10.3,3.71,0.08,21.4,0.6,0,50.9,6.62,0,0,0,0,0,0
Sunflower oil,OilCrop,884,0,0,0,0,100,10.3,19.5,65.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,41.08,0,5.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.9,4.5,0,19.5,0,0,65.7,0,0,0,0,0,0,0
Walnut oil,OilCrop,884,0,0,0,0,100,9.1,22.8,63.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0.4,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,0.1,22.2,0.4,0,52.9,10.4,0,0,0,0,0,0
Wheat germ oil,OilCrop,884,0,0,0,0,100,18.8,15.1,61.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,149.4,0,24.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,16.6,0.5,0.5,14.6,0,0,54.8,6.9,0,0,0,0,0,0
Palm oil,OilPalm,884,0,0,0,0,100,49.3,37,9.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,15.9,0,8,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0.1,1,43.5,4.3,0.3,36.6,0.1,0,9.1,0.2,0,0,0,0,0,0
"Oats, raw",OtherGrain,379,13.15,67.7,0.99,10.1,6.52,1.11,1.98,2.3,0,0,0,0,0,0,0,180,0.46,0.155,1.125,0.1,0,32,32,32,40.4,0,0,0,0,0.42,0,2,52,410,138,4.25,3.64,0.391,28.9,362,6,0,0,0,0,0,0,0,0.02,0.01,0.94,0.06,0.01,1.97,0,0,2.2,0.1,0,0,0,0,0,10.84
Barley,OtherGrain,139,2.2,27.23,0.28,3.7,2.74,1.088,0.664,0.572,4,23,24,0,15,0,0,54,0.08,0.06,1.99,0.146,0,16,16,16,13.4,0,0,0,0.1,0.23,0,2.1,11,53,21,1.28,0.79,0.101,8.3,90,199,0,0,0,0.038,0.027,0.016,0.036,0.043,0.135,0.552,0.202,0.02,0.616,0.004,0,0.515,0.058,0,0.002,0,0.001,0,67.06
Barley flour or meal,OtherGrain,345,10.5,74.5,0.8,10.1,1.6,0.335,0.205,0.771,0,0,0,0,0,0,0,160,0.37,0.114,6.27,0.396,0,8,8,8,37.8,0,0,0,0,0.57,0,2.2,32,296,96,2.68,2,0.343,37.7,309,4,0,0,0,0,0,0,0,0.004,0.008,0.286,0.012,0.004,0.168,0,0,0.695,0.077,0,0,0,0,0,12.1
Rabbit,OtherMeat_Fish,204,30.14,0,0,0,8.34,2.49,2.252,1.617,85,0,0,0,0,0,0,0,0.06,0.169,7.103,0.337,0,9,9,9,120.2,6.46,0,0,0,0.44,0,1.6,20,224,20,2.35,2.35,0.175,38.2,298,344,0,0,0,0,0,0,0,0,0.218,1.875,0.387,0.278,1.925,0,0,1.29,0.337,0,0,0,0,0,58.36
"Venison, NFS",OtherMeat_Fish,167,28.1,0,0,0,5.26,2.651,1.23,0.299,88,0,0,0,0,0,0,0,0.388,0.417,9.928,0.607,0,8,8,8,106.6,2.06,0,0,0,0.64,0,1.3,10,250,27,3.69,4.38,0.162,11.7,378,374,0,0,0,0,0,0,0,0.006,0.201,1.142,1.16,0.166,1.005,0.004,0,0.175,0.069,0,0.053,0,0,0,65.13
"Venison, steak",OtherMeat_Fish,149,29.96,0,0,0,2.36,1.34,0.536,0.157,78,0,0,0,0,0,0,0,0.278,0.509,10.672,0.75,0,9,9,9,112.1,1.82,0,0,0,0.62,0,1.2,6,275,30,4.06,3.6,0.225,13.2,395,364,0,0,0,0,0,0,0,0.002,0.085,0.529,0.642,0.043,0.477,0,0,0.089,0.042,0,0.026,0,0,0,66.54
Moose,OtherMeat_Fish,133,29.04,0,0,0,0.96,0.288,0.198,0.308,77,0,0,0,0,0,0,0,0.05,0.337,5.218,0.367,0,4,4,4,114.5,6.26,0,5,0,0.2,0,1.2,6,175,24,4.19,3.65,0.078,12.7,331,376,0,0,0,0,0,0,0,0,0,0.119,0.169,0.01,0.179,0,0,0.188,0.03,0,0.089,0,0,0,67.3
Bear,OtherMeat_Fish,257,32.16,0,0,0,13.28,3.512,5.615,2.381,97,0,0,0,0,0,0,0,0.099,0.813,3.323,0.288,0,6,6,6,121.3,2.45,0,0,0,0.49,0,1.8,5,169,23,10.64,10.19,0.147,11.1,261,378,0,0,0,0,0,0,0,0,0.187,2.057,0.763,0.719,4.097,0.057,0,1.56,0.049,0,0.318,0,0.034,0.037,53.13
Caribou,OtherMeat_Fish,166,29.53,0,0,0,4.38,1.687,1.319,0.615,108,0,0,0,0,0,0,0,0.248,0.893,5.744,0.317,0,5,5,5,121.6,6.59,0,3,0,0.4,0,1.4,22,231,27,6.12,5.22,0.261,13.5,308,367,0,0,0,0,0,0,0,0,0.119,0.883,0.585,0.109,1.21,0,0,0.308,0.03,0,0.179,0,0.03,0.06,61.94
Bison,OtherMeat_Fish,178,25.25,0,0,0,8.55,3.461,3.267,0.399,70,0,0,0,0,0,0,0,0.138,0.262,5.919,0.398,0,16,16,16,96.4,2.42,0,0,0,0.2,0,1.3,14,211,23,3.16,5.3,0.15,30.9,350,383,0,0,0,0,0,0.003,0.004,0.004,0.154,1.541,1.757,0.171,3.069,0.027,0,0.311,0.045,0,0.044,0,0,0,64.58
Groundhog,OtherMeat_Fish,233,25.86,0,0,0,13.55,4.666,5.712,1.356,82,2,2,0,0,0,0,0,0.674,0.291,6.317,0.557,0,2,2,2,62.9,0.68,0,0.1,0.9,0.12,0,0,20,220,24,0.92,2.54,0.069,41.5,342,362,0,0,0,0,0,0,0.009,0.008,0.164,2.87,1.531,0.351,5.217,0.104,0,1.179,0.048,0,0.073,0,0,0,58.96
Opossum,OtherMeat_Fish,219,29.96,0,0,0,10.12,1.196,3.743,2.959,128,0,0,0,0,0,0,0,0.099,0.367,8.363,0.466,0,10,10,10,115.6,8.23,0,0,0,0.44,0,1.6,17,276,34,4.6,2.26,0.188,18.1,435,365,0,0,0,0,0,0,0,0,0.044,0.957,0.175,0.305,3.417,0,0,2.916,0.065,0,0,0,0,0,57.84
Squirrel,OtherMeat_Fish,172,30.53,0,0,0,4.65,0.536,1.772,1.67,120,0,0,0,0,0,0,0,0.06,0.288,4.603,0.367,0,9,9,9,121.9,6.46,0,0,0,0.4,0,1.4,3,209,28,6.76,1.77,0.147,15,349,425,0,0,0,0,0,0,0,0,0.02,0.437,0.079,0.139,1.558,0.075,0,1.329,0.03,0,0.188,0.006,0.015,0.102,61.58
Beaver,OtherMeat_Fish,210,34.57,0,0,0,6.9,2.054,1.875,1.339,116,0,0,0,0,0,0,0,0.05,0.308,2.183,0.466,0,11,11,11,128.9,8.23,0,3,0,0.45,0,1.6,22,290,29,9.92,2.25,0.188,42.8,400,366,0,0,0,0,0,0,0,0,0.179,1.558,0.317,0.238,1.597,0,0,1.062,0.278,0,0,0,0,0,57.46
