variable,micronutrient,Units,mean_requirement,min_requirement,max_requirement,data_source
Population|Female|Aged20-24,vitamin k,mcg/day,55,,,WHO
Population|Female|Aged25-29,vitamin k,mcg/day,55,,,WHO
Population|Female|Aged30-34,vitamin k,mcg/day,55,,,WHO
Population|Female|Aged35-39,vitamin k,mcg/day,55,,,WHO
Population|Female|Aged40-44,vitamin k,mcg/day,55,,,WHO
Population|Female|Aged45-49,vitamin k,mcg/day,55,,,WHO
Population|Female|Aged50-54,vitamin k,mcg/day,55,,,WHO
Population|Female|Aged55-59,vitamin k,mcg/day,55,,,WHO
Population|Female|Aged60-64,vitamin k,mcg/day,55,,,WHO
Population|Female|Aged65-69,vitamin k,mcg/day,55,,,WHO
Population|Female|Aged70-74,vitamin k,mcg/day,55,,,WHO
Population|Female|Aged75-79,vitamin k,mcg/day,55,,,WHO
Population|Female|Aged80-84,vitamin k,mcg/day,55,,,WHO
Population|Female|Aged85-89,vitamin k,mcg/day,55,,,WHO
Population|Female|Aged90-94,vitamin k,mcg/day,55,,,WHO
Population|Female|Aged95-99,vitamin k,mcg/day,55,,,WHO
Population|Female|Aged100+,vitamin k,mcg/day,55,,,WHO
Population|Male|Aged0-4,vitamin k,mcg/day,15,,,WHO
Population|Male|Aged5-9,vitamin k,mcg/day,23,,,WHO
Population|Male|Aged10-14,vitamin k,mcg/day,45,,,WHO
Population|Male|Aged15-19,vitamin k,mcg/day,45,,,WHO
Population|Male|Aged20-24,vitamin k,mcg/day,65,,,WHO
Population|Male|Aged25-29,vitamin k,mcg/day,65,,,WHO
Population|Male|Aged30-34,vitamin k,mcg/day,65,,,WHO
Population|Male|Aged35-39,vitamin k,mcg/day,65,,,WHO
Population|Male|Aged40-44,vitamin k,mcg/day,65,,,WHO
Population|Male|Aged45-49,vitamin k,mcg/day,65,,,WHO
Population|Male|Aged50-54,vitamin k,mcg/day,65,,,WHO
Population|Male|Aged55-59,vitamin k,mcg/day,65,,,WHO
Population|Male|Aged60-64,vitamin k,mcg/day,65,,,WHO
Population|Male|Aged65-69,vitamin k,mcg/day,65,,,WHO
Population|Male|Aged70-74,vitamin k,mcg/day,65,,,WHO
Population|Male|Aged75-79,vitamin k,mcg/day,65,,,WHO
Population|Male|Aged80-84,vitamin k,mcg/day,65,,,WHO
Population|Male|Aged85-89,vitamin k,mcg/day,65,,,WHO
Population|Male|Aged90-94,vitamin k,mcg/day,65,,,WHO
Population|Male|Aged95-99,vitamin k,mcg/day,65,,,WHO
Population|Male|Aged100+,vitamin k,mcg/day,65,,,WHO
Population|Female|Aged0-4,vitamin c,mg/day,30,,,WHO
Population|Female|Aged5-9,vitamin c,mg/day,32,,,WHO
Population|Female|Aged10-14,vitamin c,mg/day,40,,,WHO
Population|Female|Aged15-19,vitamin c,mg/day,40,,,WHO
Population|Female|Aged20-24,vitamin c,mg/day,45,,,WHO
Population|Female|Aged25-29,vitamin c,mg/day,45,,,WHO
Population|Female|Aged30-34,vitamin c,mg/day,45,,,WHO
Population|Female|Aged35-39,vitamin c,mg/day,45,,,WHO
Population|Female|Aged40-44,vitamin c,mg/day,45,,,WHO
Population|Female|Aged45-49,vitamin c,mg/day,45,,,WHO
Population|Female|Aged50-54,vitamin c,mg/day,45,,,WHO
Population|Female|Aged55-59,vitamin c,mg/day,45,,,WHO
Population|Female|Aged60-64,vitamin c,mg/day,45,,,WHO
Population|Female|Aged65-69,vitamin c,mg/day,45,,,WHO
Population|Female|Aged70-74,vitamin c,mg/day,45,,,WHO
Population|Female|Aged75-79,vitamin c,mg/day,45,,,WHO
Population|Female|Aged80-84,vitamin c,mg/day,45,,,WHO
Population|Female|Aged85-89,vitamin c,mg/day,45,,,WHO
Population|Female|Aged90-94,vitamin c,mg/day,45,,,WHO
Population|Female|Aged95-99,vitamin c,mg/day,45,,,WHO
Population|Female|Aged100+,vitamin c,mg/day,45,,,WHO
Population|Male|Aged0-4,vitamin c,mg/day,30,,,WHO
Population|Male|Aged5-9,vitamin c,mg/day,32,,,WHO
Population|Male|Aged10-14,vitamin c,mg/day,40,,,WHO
Population|Male|Aged15-19,vitamin c,mg/day,40,,,WHO
Population|Male|Aged20-24,vitamin c,mg/day,45,,,WHO
Population|Male|Aged25-29,vitamin c,mg/day,45,,,WHO
Population|Male|Aged30-34,vitamin c,mg/day,45,,,WHO
Population|Male|Aged35-39,vitamin c,mg/day,45,,,WHO
Population|Male|Aged40-44,vitamin c,mg/day,45,,,WHO
Population|Male|Aged45-49,vitamin c,mg/day,45,,,WHO
Population|Male|Aged50-54,vitamin c,mg/day,45,,,WHO
Population|Male|Aged55-59,vitamin c,mg/day,45,,,WHO
Population|Male|Aged60-64,vitamin c,mg/day,45,,,WHO
Population|Male|Aged65-69,vitamin c,mg/day,45,,,WHO
Population|Male|Aged70-74,vitamin c,mg/day,45,,,WHO
Population|Male|Aged75-79,vitamin c,mg/day,45,,,WHO
Population|Male|Aged80-84,vitamin c,mg/day,45,,,WHO
Population|Male|Aged85-89,vitamin c,mg/day,45,,,WHO
Population|Male|Aged90-94,vitamin c,mg/day,45,,,WHO
Population|Male|Aged95-99,vitamin c,mg/day,45,,,WHO
Population|Male|Aged100+,vitamin c,mg/day,45,,,WHO
Population|Female|Aged0-4,thiamin,mg/day,0.5,,,WHO
Population|Female|Aged5-9,thiamin,mg/day,0.75,,,WHO
Population|Female|Aged10-14,thiamin,mg/day,1.1,,,WHO
Population|Female|Aged15-19,thiamin,mg/day,1.1,,,WHO
Population|Female|Aged20-24,thiamin,mg/day,1.1,,,WHO
Population|Female|Aged25-29,thiamin,mg/day,1.1,,,WHO
Population|Female|Aged30-34,thiamin,mg/day,1.1,,,WHO
Population|Female|Aged35-39,thiamin,mg/day,1.1,,,WHO
Population|Female|Aged40-44,thiamin,mg/day,1.1,,,WHO
Population|Female|Aged45-49,thiamin,mg/day,1.1,,,WHO
Population|Female|Aged50-54,thiamin,mg/day,1.1,,,WHO
Population|Female|Aged55-59,thiamin,mg/day,1.1,,,WHO
Population|Female|Aged60-64,thiamin,mg/day,1.1,,,WHO
Population|Female|Aged65-69,thiamin,mg/day,1.1,,,WHO
Population|Female|Aged70-74,thiamin,mg/day,1.1,,,WHO
Population|Female|Aged75-79,thiamin,mg/day,1.1,,,WHO
Population|Female|Aged80-84,thiamin,mg/day,1.1,,,WHO
Population|Female|Aged85-89,thiamin,mg/day,1.1,,,WHO
Population|Female|Aged90-94,thiamin,mg/day,1.1,,,WHO
Population|Female|Aged95-99,thiamin,mg/day,1.1,,,WHO
Population|Female|Aged100+,thiamin,mg/day,1.1,,,WHO
Population|Male|Aged0-4,thiamin,mg/day,0.5,,,WHO
Population|Male|Aged5-9,thiamin,mg/day,0.75,,,WHO
Population|Male|Aged10-14,thiamin,mg/day,1.2,,,WHO
Population|Male|Aged15-19,thiamin,mg/day,1.2,,,WHO
Population|Male|Aged20-24,thiamin,mg/day,1.2,,,WHO
Population|Male|Aged25-29,thiamin,mg/day,1.2,,,WHO
Population|Male|Aged30-34,thiamin,mg/day,1.2,,,WHO
Population|Male|Aged35-39,thiamin,mg/day,1.2,,,WHO
Population|Male|Aged40-44,thiamin,mg/day,1.2,,,WHO
Population|Male|Aged45-49,thiamin,mg/day,1.2,,,WHO
Population|Male|Aged50-54,thiamin,mg/day,1.2,,,WHO
Population|Male|Aged55-59,thiamin,mg/day,1.2,,,WHO
Population|Male|Aged60-64,thiamin,mg/day,1.2,,,WHO
Population|Male|Aged65-69,thiamin,mg/day,1.2,,,WHO
Population|Male|Aged70-74,thiamin,mg/day,1.2,,,WHO
Population|Male|Aged75-79,thiamin,mg/day,1.2,,,WHO
Population|Male|Aged80-84,thiamin,mg/day,1.2,,,WHO
Population|Male|Aged85-89,thiamin,mg/day,1.2,,,WHO
Population|Male|Aged90-94,thiamin,mg/day,1.2,,,WHO
Population|Male|Aged95-99,thiamin,mg/day,1.2,,,WHO
Population|Male|Aged100+,thiamin,mg/day,1.2,,,WHO
Population|Female|Aged0-4,selenium,mcg/day,17,,,WHO
Population|Female|Aged5-9,selenium,mcg/day,22,,,WHO
Population|Female|Aged10-14,selenium,mcg/day,26,,,WHO
Population|Female|Aged15-19,selenium,mcg/day,26,,,WHO
Population|Female|Aged20-24,selenium,mcg/day,26,,,WHO
Population|Female|Aged25-29,selenium,mcg/day,26,,,WHO
Population|Female|Aged30-34,selenium,mcg/day,26,,,WHO
Population|Female|Aged35-39,selenium,mcg/day,26,,,WHO
Population|Female|Aged40-44,selenium,mcg/day,26,,,WHO
Population|Female|Aged45-49,selenium,mcg/day,26,,,WHO
Population|Female|Aged50-54,selenium,mcg/day,26,,,WHO
Population|Female|Aged55-59,selenium,mcg/day,26,,,WHO
Population|Female|Aged60-64,selenium,mcg/day,26,,,WHO
Population|Female|Aged65-69,selenium,mcg/day,25,,,WHO
Population|Female|Aged70-74,selenium,mcg/day,25,,,WHO
Population|Female|Aged75-79,selenium,mcg/day,25,,,WHO
Population|Female|Aged80-84,selenium,mcg/day,25,,,WHO
Population|Female|Aged85-89,selenium,mcg/day,25,,,WHO
Population|Female|Aged90-94,selenium,mcg/day,25,,,WHO
Population|Female|Aged95-99,selenium,mcg/day,25,,,WHO
Population|Female|Aged100+,selenium,mcg/day,25,,,WHO
Population|Male|Aged0-4,selenium,mcg/day,17,,,WHO
Population|Male|Aged5-9,selenium,mcg/day,22,,,WHO
Population|Male|Aged10-14,selenium,mcg/day,32,,,WHO
Population|Male|Aged15-19,selenium,mcg/day,32,,,WHO
Population|Male|Aged20-24,selenium,mcg/day,34,,,WHO
Population|Male|Aged25-29,selenium,mcg/day,34,,,WHO
Population|Male|Aged30-34,selenium,mcg/day,34,,,WHO
Population|Male|Aged35-39,selenium,mcg/day,34,,,WHO
Population|Male|Aged40-44,selenium,mcg/day,34,,,WHO
Population|Male|Aged45-49,selenium,mcg/day,34,,,WHO
Population|Male|Aged50-54,selenium,mcg/day,34,,,WHO
Population|Male|Aged55-59,selenium,mcg/day,34,,,WHO
Population|Male|Aged60-64,selenium,mcg/day,34,,,WHO
Population|Male|Aged65-69,selenium,mcg/day,33,,,WHO
Population|Male|Aged70-74,selenium,mcg/day,33,,,WHO
Population|Male|Aged75-79,selenium,mcg/day,33,,,WHO
Population|Male|Aged80-84,selenium,mcg/day,33,,,WHO
Population|Male|Aged85-89,selenium,mcg/day,33,,,WHO
Population|Male|Aged90-94,selenium,mcg/day,33,,,WHO
Population|Male|Aged95-99,selenium,mcg/day,33,,,WHO
Population|Male|Aged100+,selenium,mcg/day,33,,,WHO
Population|Female|Aged0-4,magnesium,mg/day,60,,,WHO
Population|Female|Aged5-9,magnesium,mg/day,88,,,WHO
Population|Female|Aged10-14,magnesium,mg/day,220,,,WHO
Population|Female|Aged15-19,magnesium,mg/day,220,,,WHO
Population|Female|Aged20-24,magnesium,mg/day,220,,,WHO
Population|Female|Aged25-29,magnesium,mg/day,220,,,WHO
Population|Female|Aged30-65,magnesium,mg/day,220,,,WHO
Population|Female|Aged35-39,magnesium,mg/day,220,,,WHO
Population|Female|Aged40-44,magnesium,mg/day,220,,,WHO
Population|Female|Aged45-49,magnesium,mg/day,220,,,WHO
Population|Female|Aged50-54,magnesium,mg/day,220,,,WHO
Population|Female|Aged55-59,magnesium,mg/day,220,,,WHO
Population|Female|Aged60-64,magnesium,mg/day,220,,,WHO
Population|Female|Aged65-69,magnesium,mg/day,190,,,WHO
Population|Female|Aged70-74,magnesium,mg/day,190,,,WHO
Population|Female|Aged75-79,magnesium,mg/day,190,,,WHO
Population|Female|Aged80-84,magnesium,mg/day,190,,,WHO
Population|Female|Aged85-89,magnesium,mg/day,190,,,WHO
Population|Female|Aged90-94,magnesium,mg/day,190,,,WHO
Population|Female|Aged95-99,magnesium,mg/day,190,,,WHO
Population|Female|Aged100+,magnesium,mg/day,190,,,WHO
Population|Male|Aged0-4,magnesium,mg/day,60,,,WHO
Population|Male|Aged5-9,magnesium,mg/day,88,,,WHO
Population|Male|Aged10-14,magnesium,mg/day,230,,,WHO
Population|Male|Aged15-19,magnesium,mg/day,230,,,WHO
Population|Male|Aged20-24,magnesium,mg/day,260,,,WHO
Population|Male|Aged25-29,magnesium,mg/day,260,,,WHO
Population|Male|Aged30-65,magnesium,mg/day,260,,,WHO
Population|Male|Aged35-39,magnesium,mg/day,260,,,WHO
Population|Male|Aged40-44,magnesium,mg/day,260,,,WHO
Population|Male|Aged45-49,magnesium,mg/day,260,,,WHO
Population|Male|Aged50-54,magnesium,mg/day,260,,,WHO
Population|Male|Aged55-59,magnesium,mg/day,260,,,WHO
Population|Male|Aged60-64,magnesium,mg/day,260,,,WHO
Population|Male|Aged65-69,magnesium,mg/day,224,,,WHO
Population|Male|Aged70-74,magnesium,mg/day,224,,,WHO
Population|Male|Aged75-79,magnesium,mg/day,224,,,WHO
Population|Male|Aged80-84,magnesium,mg/day,224,,,WHO
Population|Male|Aged85-89,magnesium,mg/day,224,,,WHO
Population|Male|Aged90-94,magnesium,mg/day,224,,,WHO
Population|Male|Aged95-99,magnesium,mg/day,224,,,WHO
Population|Male|Aged100+,magnesium,mg/day,224,,,WHO
Population|Female|Aged0-4,zinc,mg/day,12,,,WHO
Population|Female|Aged5-9,zinc,mg/day,22,,,WHO
Population|Female|Aged10-14,zinc,mg/day,47,,,WHO
Population|Female|Aged15-19,zinc,mg/day,47,,,WHO
Population|Female|Aged20-24,zinc,mg/day,55,,,WHO
Population|Female|Aged25-29,zinc,mg/day,55,,,WHO
Population|Female|Aged30-65,zinc,mg/day,55,,,WHO
Population|Female|Aged35-39,zinc,mg/day,55,,,WHO
Population|Female|Aged40-44,zinc,mg/day,55,,,WHO
Population|Female|Aged45-49,zinc,mg/day,55,,,WHO
Population|Female|Aged50-54,zinc,mg/day,55,,,WHO
Population|Female|Aged55-59,zinc,mg/day,55,,,WHO
Population|Female|Aged60-64,zinc,mg/day,55,,,WHO
Population|Female|Aged65-69,zinc,mg/day,55,,,WHO
Population|Female|Aged70-74,zinc,mg/day,55,,,WHO
Population|Female|Aged75-79,zinc,mg/day,55,,,WHO
Population|Female|Aged80-84,zinc,mg/day,55,,,WHO
Population|Female|Aged85-89,zinc,mg/day,55,,,WHO
Population|Female|Aged90-94,zinc,mg/day,55,,,WHO
Population|Female|Aged95-99,zinc,mg/day,55,,,WHO
Population|Female|Aged100+,zinc,mg/day,55,,,WHO
Population|Male|Aged0-4,zinc,mg/day,12,,,WHO
Population|Male|Aged5-9,zinc,mg/day,22,,,WHO
Population|Male|Aged10-14,zinc,mg/day,49,,,WHO
Population|Male|Aged15-19,zinc,mg/day,49,,,WHO
Population|Male|Aged20-24,zinc,mg/day,65,,,WHO
Population|Male|Aged25-29,zinc,mg/day,65,,,WHO
Population|Male|Aged30-65,zinc,mg/day,65,,,WHO
Population|Male|Aged35-39,zinc,mg/day,65,,,WHO
Population|Male|Aged40-44,zinc,mg/day,65,,,WHO
Population|Male|Aged45-49,zinc,mg/day,65,,,WHO
Population|Male|Aged50-54,zinc,mg/day,65,,,WHO
Population|Male|Aged55-59,zinc,mg/day,65,,,WHO
Population|Male|Aged60-64,zinc,mg/day,65,,,WHO
Population|Male|Aged65-69,zinc,mg/day,65,,,WHO
Population|Male|Aged70-74,zinc,mg/day,65,,,WHO
Population|Male|Aged75-79,zinc,mg/day,65,,,WHO
Population|Male|Aged80-84,zinc,mg/day,65,,,WHO
Population|Male|Aged85-89,zinc,mg/day,65,,,WHO
Population|Male|Aged90-94,zinc,mg/day,65,,,WHO
Population|Male|Aged95-99,zinc,mg/day,65,,,WHO
Population|Male|Aged100+,zinc,mg/day,65,,,WHO
Population|Female|Aged0-4,iron,mg/day,3.9,,,WHO
Population|Female|Aged5-9,iron,mg/day,5.1,,,WHO
Population|Female|Aged10-14,iron,mg/day,21.8,,,WHO
Population|Female|Aged15-19,iron,mg/day,20.7,,,WHO
Population|Female|Aged20-24,iron,mg/day,19.6,,,WHO
Population|Female|Aged25-29,iron,mg/day,19.6,,,WHO
Population|Female|Aged30-65,iron,mg/day,19.6,,,WHO
Population|Female|Aged35-39,iron,mg/day,19.6,,,WHO
Population|Female|Aged40-44,iron,mg/day,19.6,,,WHO
Population|Female|Aged45-49,iron,mg/day,19.6,,,WHO
Population|Female|Aged50-54,iron,mg/day,19.6,,,WHO
Population|Female|Aged55-59,iron,mg/day,19.6,,,WHO
Population|Female|Aged60-64,iron,mg/day,19.6,,,WHO
Population|Female|Aged65-69,iron,mg/day,19.6,,,WHO
Population|Female|Aged70-74,iron,mg/day,19.6,,,WHO
Population|Female|Aged75-79,iron,mg/day,19.6,,,WHO
Population|Female|Aged80-84,iron,mg/day,19.6,,,WHO
Population|Female|Aged85-89,iron,mg/day,19.6,,,WHO
Population|Female|Aged90-94,iron,mg/day,19.6,,,WHO
Population|Female|Aged95-99,iron,mg/day,19.6,,,WHO
Population|Female|Aged100+,iron,mg/day,19.6,,,WHO
Population|Male|Aged0-4,iron,mg/day,3.9,,,WHO
Population|Male|Aged5-9,iron,mg/day,5.1,,,WHO
Population|Male|Aged10-14,iron,mg/day,9.7,,,WHO
Population|Male|Aged15-19,iron,mg/day,12.5,,,WHO
Population|Male|Aged20-24,iron,mg/day,9.1,,,WHO
Population|Male|Aged25-29,iron,mg/day,9.1,,,WHO
Population|Male|Aged30-65,iron,mg/day,9.1,,,WHO
Population|Male|Aged35-39,iron,mg/day,9.1,,,WHO
Population|Male|Aged40-44,iron,mg/day,9.1,,,WHO
Population|Male|Aged45-49,iron,mg/day,9.1,,,WHO
Population|Male|Aged50-54,iron,mg/day,9.1,,,WHO
Population|Male|Aged55-59,iron,mg/day,9.1,,,WHO
Population|Male|Aged60-64,iron,mg/day,9.1,,,WHO
Population|Male|Aged65-69,iron,mg/day,9.1,,,WHO
Population|Male|Aged70-74,iron,mg/day,9.1,,,WHO
Population|Male|Aged75-79,iron,mg/day,9.1,,,WHO
Population|Male|Aged80-84,iron,mg/day,9.1,,,WHO
Population|Male|Aged85-89,iron,mg/day,9.1,,,WHO
Population|Male|Aged90-94,iron,mg/day,9.1,,,WHO
Population|Male|Aged95-99,iron,mg/day,9.1,,,WHO
Population|Male|Aged100+,iron,mg/day,9.1,,,WHO
Population|Female|Aged0-4,vitamin b12,mcg/day,0.7,,,WHO
Population|Female|Aged5-9,vitamin b12,mcg/day,1,,,WHO
Population|Female|Aged10-14,vitamin b12,mcg/day,2,,,WHO
Population|Female|Aged15-19,vitamin b12,mcg/day,2,,,WHO
Population|Female|Aged20-24,vitamin b12,mcg/day,2,,,WHO
Population|Female|Aged25-29,vitamin b12,mcg/day,2,,,WHO
Population|Female|Aged30-65,vitamin b12,mcg/day,2,,,WHO
Population|Female|Aged35-39,vitamin b12,mcg/day,2,,,WHO
Population|Female|Aged40-44,vitamin b12,mcg/day,2,,,WHO
Population|Female|Aged45-49,vitamin b12,mcg/day,2,,,WHO
Population|Female|Aged50-54,vitamin b12,mcg/day,2,,,WHO
Population|Female|Aged55-59,vitamin b12,mcg/day,2,,,WHO
Population|Female|Aged60-64,vitamin b12,mcg/day,2,,,WHO
Population|Female|Aged65-69,vitamin b12,mcg/day,2,,,WHO
Population|Female|Aged70-74,vitamin b12,mcg/day,2,,,WHO
Population|Female|Aged75-79,vitamin b12,mcg/day,2,,,WHO
