"Data Source","World Development Indicators",

"Last Updated Date","2023-09-19",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","toerase"
"Armenia","ARM","Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.UP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","81.5830764770508","","","","","","","","","","90.2376098632813","","","","91.8374328613281","","90.0966491699219","","","89.880859375","","",
"American Samoa","ASM","Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.UP.ZS","","","","","","","","","","","","","","","36.0716094970703","","","","","","42.0999984741211","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.UP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Australia","AUS","Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.UP.ZS","","","","","","","","","","","","21.5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","64.1210021972656","65.0338516235352","66.7138366699219","68.1897811889648","70.0889587402344","70.8557434082031","72.7989730834961","74.0616683959961","76.4830169677734","72.037353515625","73.5959625244141","75.5475769042969","76.4180374145508","77.261360168457","78.3257598876953","79.0479278564453","80.0530319213867","","",
"Austria","AUT","Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.UP.ZS","","","","","","","","","","","","38.3216514587402","","","","","","","","","","50.7143898010254","","","","","","","","","","52.065128326416","","","","","","","","","","","","","","74.2021636962891","","73.5906066894531","72.4694595336914","75.810188293457","76.5560989379883","76.4276962280273","76.9751129150391","77.3063583374023","78.4265899658203","79.0129013061523","79.3689804077148","79.6625823974609","","80.6740493774414","","","",
"Azerbaijan","AZE","Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.UP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","83.5263214111328","","","","","","","","88.435417175293","88.5401382446289","88.6104888916016","88.6454010009766","88.6587829589844","88.7130889892578","88.7197418212891","88.7141723632813","88.6650772094727","88.6644515991211","88.5012283325195","88.4309387207031","88.4195785522461","","","",
"Burundi","BDI","Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.UP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.41938018798828","","","","","","3.3253800868988","","","5.59581995010376","","","","","",
"Belgium","BEL","Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.UP.ZS","","","","","","","","","","","14.0161895751953","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","57.7329292297363","","60.4241600036621","61.6929016113281","61.7283782958984","62.7599296569824","63.2111015319824","64.2786865234375","64.0188827514648","66.210578918457","67.0826416015625","69.1504516601563","","71.4462585449219","","","",
"Benin","BEN","Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.UP.ZS","","","","","","","","","","","","","","","","","","","","1.10000002384186","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Burkina Faso","BFA","Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.UP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.00731992721558","0.495099991559982","","","","","","","2.80549001693726","","","","6.15245008468628","","","","",
"Bangladesh","BGD","Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.UP.ZS","","","","","","","","","","","","","","","","","","","","","","5.49604988098145","","","","","","","","","","","","","","","","","","","","17.1284294128418","","","","","","","","","","24.1828193664551","24.678840637207","22.1853504180908","23.2181606292725","28.5621795654297","28.9691696166992","29.7941703796387","30.5447692871094","31.330099105835","36.7704391479492","","",
"Bulgaria","BGR","Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.UP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","59.4621200561523","","","","","64.4489135742188","67.0206527709961","67.6123504638672","68.2597579956055","69.6149520874023","70.6531677246094","72.4808578491211","73.9379577636719","73.8130874633789","74.9126663208008","75.5995407104492","76.4485397338867","","","77.7781982421875","","",
"Bahrain","BHR","Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.UP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","49.6503105163574","","","","","","","","","42.1130104064941","","","","","","54.0475997924805","56.538158416748","64.9282302856445","","68.7366790771484","","",
"Bahamas, The","BHS","Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.UP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","70.9415512084961","","","","","","","","","","81.8777313232422","","","","","","","","","","","","",
"Bosnia and Herzegovina","BIH","Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.UP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","31.1134300231934","32.742359161377","","","59.5738906860352","60.8295707702637","62.3772583007813","","63.5065383911133","","69.086181640625","","",
"Belarus","BLR","Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.UP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","84.4003372192383","","","","","","","","","","94.7378082275391","","","",
"Belize","BLZ","Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.UP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","24.8250007629395","","","","","36.827018737793","","","","","","","","","","43.2856292724609","","",
"Bermuda","BMU","Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.UP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","85.6993789672852","","","","","","","","","","77.0159683227539","","","","","","87.4534378051758","","","","","","",
"Bolivia","BOL","Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.UP.ZS","","","","","","","","","","","","","","","","","12.0882596969604","","","","","","","","","","","","","","","","28.0149402618408","","","","","","","","","38.0085716247559","","","","","33.4957504272461","","36.0851097106934","38.4426002502441","","","43.1408309936523","","","51.2609596252441","","","","60.1514701843262","59.2210693359375","","",
"Brazil","BRA","Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.UP.ZS","","","","","","","","","","","5.68445014953613","","","","","","4.30000019073486","","","","4.97579002380371","","","","","","","","","","","","","","","","","","","","","","","","29.4160003662109","","32.4210815429688","33.7455711364746","35.4544715881348","37.1068801879883","35.922679901123","39.3609809875488","40.6111907958984","41.8536682128906","42.5613784790039","43.7763481140137","45.1083183288574","46.1742515563965","47.4328689575195","","","","",
"Barbados","BRB","Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.UP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","24.2057304382324","","","","","","","","","","","","","","","","","","","","","","",
"Brunei Darussalam","BRN","Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.UP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","62.9979209899902","","","","","","","","","","","",
"Bhutan","BTN","Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.UP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.50574016571045","","","","","17.3154907226563","","","","","",
"Botswana","BWA","Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.UP.ZS","","","","","","","","","","","","1.28277003765106","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Central African Republic","CAF","Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.UP.ZS","","","","","","","","","","","","","","","","1.64069998264313","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Canada","CAN","Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.UP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","44.1334495544434","","","","","49.3545188903809","","","","","","","","","","67.7451324462891","","","","","79.4033889770508","","","","","82.7489929199219","","","","","84.4691925048828","","","","","","",
"Central Europe and the Baltics","CEB","Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.UP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Switzerland","CHE","Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.UP.ZS","","","","","","","","","","","21.018030166626","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","82.7161178588867","81.7433471679688","81.6319427490234","82.4815521240234","","84.6438522338867","85.1900100708008","84.5369110107422","","85.681770324707","86.6450271606445","","","",
"Channel Islands","CHI","Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.UP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.UP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","50.0224189758301","","","50.5686492919922","51.8613586425781","","52.8601493835449","50.8061485290527","","53.8420600891113","","56.9636688232422","","59.2311515808105","","","","","",
"China","CHN","Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.UP.ZS","","","","","","","","","","","","","","","","","","","","","","","6.64788007736206","","","","","","","","","","","","","","","","","","","","","","","","","","","","22.3159999847412","","","","","","","","","","","","",
"Cote d'Ivoire","CIV","Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.UP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20.5865001678467","","","","","","","","","","","","","","","","14.1761598587036","","","","","","","","",
"Cameroon","CMR","Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.UP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18.172269821167","","","","","","","","","","","","",
"Congo, Dem. Rep.","COD","Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.UP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19.8470401763916","","","27.2640800476074","","","","","","",
"Congo, Rep.","COG","Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.UP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","8.77367973327637","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Colombia","COL","Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.UP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","27.6781806945801","","","","","","","","","","","34.9496612548828","33.7099494934082","32.2696800231934","36.5237693786621","38.061840057373","37.6516304016113","39.1352615356445","40.2652816772461","41.4074287414551","43.2897491455078","44.59130859375","45.4046592712402","47.2685508728027","","49.7744789123535","51.0982284545898","53.1528701782227","","",
"Comoros","COM","Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.UP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cabo Verde","CPV","Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.UP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20.037130355835","","","","","","","",
"Costa Rica","CRI","Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.UP.ZS","","","","","","","","","","","","","","10.6336297988892","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","33.4575119018555","35.7305107116699","36.5469703674316","35.5017204284668","36.5434799194336","37.384651184082","","40.2186393737793","37.9914588928223","38.2961387634277","","39.6567306518555","","40.9356117248535","","",
"Caribbean small states","CSS","Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.UP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cuba","CUB","Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.UP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40.3534393310547","","","","","","","","","","57.4055290222168","","","","","","","","","","",
"Curacao","CUW","Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.UP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","51.0097389221191","","",
"Cayman Islands","CYM","Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.UP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","73.564582824707","77.2876663208008","","","","","","88.1057968139648","90.1963195800781","","","","","","","",
"Cyprus","CYP","Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.UP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","57.1389083862305","58.6673393249512","61.2007484436035","63.5253410339355","64.4992599487305","63.8221397399902","65.4537200927734","67.7841033935547","68.9212112426758","69.8925476074219","69.4995498657227","69.050651550293","71.1635284423828","","72.9813537597656","","74.4701614379883","","",
"Czechia","CZE","Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.UP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","85.4778289794922","85.7760925292969","86.137077331543","87.2494125366211","87.9936599731445","88.3989562988281","88.5255432128906","89.1595687866211","89.6333618164063","89.7707138061523","90.2288589477539","90.5752105712891","","90.6672668457031","","","",
"Germany","DEU","Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.UP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","78.4840774536133","77.6236801147461","77.8464736938477","79.1142120361328","80.1641693115234","80.6187515258789","81.1279907226563","81.7228622436523","82.04736328125","82.3082504272461","82.9972076416016","83.083366394043","83.0064163208008","","83.4613037109375","","83.6999969482422","","",
"Djibouti","DJI","Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.UP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Dominica","DMA","Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.UP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.7694396972656","","","","","","","","","","","","","","","","","","","","","",
"Denmark","DNK","Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.UP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","57.836181640625","","","58.1618881225586","60.042179107666","","","","","","","","84.2631683349609","82.2784805297852","","","75.8241806030273","78.7898864746094","72.6581420898438","72.2302627563477","73.1235580444336","76.0023803710938","76.549072265625","76.8349990844727","77.749137878418","78.184440612793","","79.2777328491211","","79.3219375610352","","",
"Dominican Republic","DOM","Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.UP.ZS","","","","","","","","","","","4.40000009536743","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30.8221206665039","","","30.8269691467285","31.7207794189453","32.6120910644531","33.4863510131836","34.1712112426758","34.8687400817871","48.5996589660645","","","","","","",
"Algeria","DZA","Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.UP.ZS","","","","","","","","","","","","0.31725999712944","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","24.1528606414795","","25.4165191650391","","","","","","","","","","","","","","",
"East Asia & Pacific (excluding high income)","EAP","Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.UP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Early-demographic dividend","EAR","Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.UP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"East Asia & Pacific","EAS","Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.UP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Europe & Central Asia (excluding high income)","ECA","Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.UP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Europe & Central Asia","ECS","Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.UP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Ecuador","ECU","Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.UP.ZS","","","","","","","","","","","","","","","8.51974964141846","","","","","","","","15.436240196228","","","","","","","","35.9104804992676","","","","","","","","","","","","","","","","","33.2486381530762","33.225700378418","34.035888671875","34.9176483154297","35.9011192321777","37.8762588500977","38.6495094299316","38.5256996154785","42.2561302185059","42.2995185852051","43.5343818664551","","","43.3669815063477","46.5900001525879","",
"Egypt, Arab Rep.","EGY","Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.UP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40.3802604675293","","","","","","","","","","","67.1564712524414","","","","","",
"Euro area","EMU","Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.UP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Eritrea","ERI","Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.UP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Spain","ESP","Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.UP.ZS","","","","","","","","","","","6.24202013015747","","","","","","","","","","","12.8337497711182","","","","","15.6999998092651","","","","","","","","","","","","","","","","","","37.2616500854492","40.3894195556641","41.4418296813965","42.3230590820313","42.8323707580566","43.3348388671875","44.2518196105957","45.265308380127","45.6011505126953","","47.2372512817383","47.8630485534668","48.6490592956543","","50.4169883728027","","53.2567481994629","","",
"Estonia","EST","Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.UP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","58.7837409973145","","","","","","","","","","","71.4596633911133","","","","","","84.9207305908203","85.6972579956055","85.3210983276367","85.6841125488281","86.4620971679688","86.5545501708984","87.2545623779297","88.4385375976563","85.9455490112305","86.5550918579102","86.8937530517578","86.9619216918945","87.6303024291992","","85.7552032470703","","",
"Ethiopia","ETH","Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.UP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.02418994903564","","","","8.83605003356934","","","","","","","","","","","",
"European Union","EUU","Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.UP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Fragile and conflict affected situations","FCS","Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.UP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Finland","FIN","Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.UP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","64.3962936401367","","66.1979904174805","67.1308517456055","67.968391418457","68.7850875854492","69.6325378417969","70.4480590820313","71.2015533447266","71.953727722168","72.8120803833008","73.5687713623047","74.0170669555664","","75.5235595703125","","77.4507217407227","","","",
"Fiji","FJI","Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.UP.ZS","","","","","","","","","","","","","","","","","7.2487998008728","","","","","","","","","","4.45641994476318","","","","","","","","","","25.5793495178223","","","","","","","","","","","39.3296203613281","","","","","","","","","","44.5563583374023","","","","","",
"France","FRA","Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.UP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","55.6975784301758","56.5906105041504","","59.4229507446289","60.3495597839355","60.4208717346191","61.8988800048828","62.7715682983398","63.7497215270996","66.3351593017578","68.5302200317383","69.4374313354492","69.6656265258789","70.0754928588867","","72.1873474121094","","","",
"Faroe Islands","FRO","Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.UP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Micronesia, Fed. Sts.","FSM","Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.UP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Gabon","GAB","Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.UP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"United Kingdom","GBR","Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.UP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","84.6721725463867","86.4258270263672","86.0834426879883","87.7356567382813","74.0022735595703","74.7063903808594","","","77.1117324829102","","","79.9111328125","","",
