# File:SSP_database_v9.csv,,,,,,,,,,,,,,,,,,,,,,,,
MODEL,SCENARIO,iso,REGION,VARIABLE,UNIT,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
IIASA-WiC POP,SSP2_v9_130115,abw,ABW,Population|Female|Aged5-9,million,0.00329,0.003315162,0.003308669,0.003656728,0.003615604,0.00351682,0.003363298,0.003327614,0.003319041,0.003314043,0.003306165,0.003264238,0.003187824,0.003083567,0.002978151,0.002877726,0.002775058,0.002659934,0.002531163
IIASA-WiC POP,SSP2_v9_130115,abw,ABW,Population|Female|Aged50-54,million,0.004896,0.005454061,0.005050288,0.004819056,0.004750301,0.005847647,0.006454813,0.006300176,0.00611813,0.005959459,0.006138253,0.006153137,0.006295781,0.006163648,0.005914397,0.005484134,0.005046061,0.004675305,0.004336083
IIASA-WiC POP,SSP2_v9_130115,abw,ABW,Population|Female|Aged55-59,million,0.003785,0.004841124,0.005392158,0.005022603,0.004819234,0.004769444,0.005852841,0.006456632,0.006312345,0.006137913,0.005991971,0.006163205,0.0061763,0.00631529,0.006178343,0.00592355,0.00548736,0.005043816,0.004668615
IIASA-WiC POP,SSP2_v9_130115,abw,ABW,Population|Female|Aged60-64,million,0.002799,0.00369845,0.004726736,0.005281286,0.004946717,0.004769911,0.004739245,0.005808761,0.006410395,0.006277794,0.006112925,0.005969554,0.006140125,0.006156816,0.006297418,0.00616241,0.005909183,0.005474528,0.005032555
IIASA-WiC POP,SSP2_v9_130115,abw,ABW,Population|Female|Aged65-69,million,0.001992,0.002670593,0.003541611,0.004544382,0.00510269,0.004807225,0.004660213,0.004650618,0.005705629,0.006306163,0.006190073,0.006040406,0.005906779,0.006082822,0.006107535,0.006253899,0.006125697,0.005878997,0.005451144
IIASA-WiC POP,SSP2_v9_130115,abw,ABW,Population|Female|Aged70-74,million,0.001748,0.001819313,0.002458941,0.00328961,0.004254985,0.004814247,0.004570271,0.004458707,0.004475744,0.005513286,0.006117288,0.006029501,0.00590383,0.005790021,0.005977874,0.00601672,0.006173874,0.006058518,0.005824381
IIASA-WiC POP,SSP2_v9_130115,abw,ABW,Population|Female|Aged75-79,million,0.001201,0.001459911,0.00155661,0.002139213,0.002906489,0.003813032,0.004368424,0.004190829,0.004124513,0.004176338,0.005188329,0.005799256,0.00575338,0.00566664,0.005586563,0.005795038,0.005856957,0.00603184,0.005938211
IIASA-WiC POP,SSP2_v9_130115,abw,ABW,Population|Female|Aged80-84,million,5.56E-04,8.70E-04,0.001096616,0.001209005,0.001702785,0.002368651,0.003176127,0.003710998,0.003620903,0.003613886,0.003711048,0.004673711,0.005285403,0.005301052,0.005271877,0.005243282,0.005481723,0.005578886,0.005781229
IIASA-WiC POP,SSP2_v9_130115,abw,ABW,Population|Female|Aged85-89,million,2.36E-04,3.20E-04,5.28E-04,6.98E-04,8.06E-04,0.001177005,0.001694472,0.002348908,0.002828398,0.002832945,0.002891013,0.003035322,0.00390427,0.004500606,0.004593943,0.004642156,0.004683868,0.004960405,0.005107538
IIASA-WiC POP,SSP2_v9_130115,abw,ABW,Population|Female|Aged90-94,million,1.11E-04,9.54E-05,1.40E-04,2.47E-04,3.47E-04,4.26E-04,6.53E-04,9.90E-04,0.001438459,0.00181088,0.001886693,0.001993061,0.002163564,0.002876764,0.003416722,0.00358652,0.003717014,0.003837487,0.004150349
IIASA-WiC POP,SSP2_v9_130115,abw,ABW,Population|Female|Aged95-99,million,2.30E-05,2.72E-05,2.59E-05,4.18E-05,7.93E-05,1.21E-04,1.60E-04,2.63E-04,4.26E-04,6.62E-04,8.87E-04,9.79E-04,0.00108799,0.001242386,0.001734636,0.00215593,0.002360465,0.002542333,0.002720058
IIASA-WiC POP,SSP2_v9_130115,abw,ABW,Population|Male,million,0.050987,0.054923822,0.057925778,0.060646304,0.063064688,0.065122077,0.066934922,0.068494015,0.069857852,0.071121878,0.072326202,0.073226226,0.073741666,0.07384144,0.073516862,0.072806622,0.071778824,0.070475647,0.068934043
IIASA-WiC POP,SSP2_v9_130115,abw,ABW,Population|Male|Aged0-4,million,0.003127,0.00331523,0.003755209,0.003727898,0.003630136,0.003454067,0.003415854,0.003414269,0.003424048,0.003434342,0.003401161,0.003330225,0.003227449,0.003121718,0.003019425,0.002913241,0.002792975,0.002657461,0.002514706
IIASA-WiC POP,SSP2_v9_130115,abw,ABW,Population|Male|Aged10-14,million,0.003934,0.003422808,0.003334173,0.003443673,0.00381736,0.003779908,0.003679616,0.003518755,0.003481034,0.003472163,0.003467913,0.003459996,0.003417201,0.003338246,0.003230086,0.003120606,0.00301613,0.002909083,0.002788915
IIASA-WiC POP,SSP2_v9_130115,abw,ABW,Population|Male|Aged100+,million,0,4.50E-07,7.34E-07,9.20E-07,1.36E-06,2.59E-06,4.50E-06,7.32E-06,1.40E-05,2.69E-05,4.89E-05,8.22E-05,1.07E-04,1.35E-04,1.70E-04,2.66E-04,3.88E-04,5.29E-04,6.77E-04
IIASA-WiC POP,SSP2_v9_130115,abw,ABW,Population|Male|Aged15-19,million,0.004075,0.003957193,0.003451581,0.003372,0.003478997,0.003842013,0.003803843,0.003703986,0.003546422,0.003509089,0.003499025,0.003490117,0.003477937,0.003431234,0.003348542,0.00323708,0.003124709,0.003017751,0.002908584
IIASA-WiC POP,SSP2_v9_130115,abw,ABW,Population|Male|Aged20-24,million,0.00347,0.004035662,0.003930136,0.003448559,0.003379107,0.003483093,0.003831794,0.003793511,0.003695279,0.003542646,0.003505798,0.003493954,0.003484131,0.003471627,0.003425243,0.003343176,0.003232835,0.003121907,0.003016721
IIASA-WiC POP,SSP2_v9_130115,abw,ABW,Population|Male|Aged25-29,million,0.00312,0.003991569,0.004242113,0.004139484,0.003736408,0.00370764,0.003801088,0.004098708,0.004053288,0.003952554,0.003810633,0.003722118,0.003666734,0.003619383,0.003573132,0.003496066,0.003385615,0.003250988,0.003120133
IIASA-WiC POP,SSP2_v9_130115,abw,ABW,Population|Male|Aged30-34,million,0.002952,0.003990774,0.004434289,0.004646215,0.004536715,0.00420225,0.004213703,0.004295233,0.004552105,0.004500165,0.004394101,0.004175539,0.004020015,0.00390611,0.003805263,0.003708376,0.003582403,0.003425466,0.003249088
IIASA-WiC POP,SSP2_v9_130115,abw,ABW,Population|Male|Aged35-39,million,0.003646,0.003375079,0.004167554,0.004589714,0.004772343,0.004662346,0.004384552,0.004423,0.004495635,0.004720548,0.004667387,0.004537445,0.004291304,0.004111082,0.003975551,0.003855048,0.003739597,0.003596062,0.003423352
IIASA-WiC POP,SSP2_v9_130115,abw,ABW,Population|Male|Aged40-44,million,0.004283,0.003888353,0.003558848,0.004336801,0.004757181,0.004929364,0.004819891,0.004570085,0.004624994,0.004694881,0.004906937,0.004830298,0.004674138,0.00439914,0.004193108,0.004034208,0.003891915,0.003755935,0.003593502
IIASA-WiC POP,SSP2_v9_130115,abw,ABW,Population|Male|Aged45-49,million,0.004884,0.004387674,0.003972071,0.003671159,0.004444915,0.004868366,0.005038725,0.004932302,0.004699073,0.004764574,0.004834534,0.005034371,0.004938466,0.004761557,0.004464417,0.004238605,0.004061829,0.003903051,0.003752069
IIASA-WiC POP,SSP2_v9_130115,abw,ABW,Population|Male|Aged5-9,million,0.00333,0.003264629,0.003379571,0.003773989,0.003739425,0.003639605,0.003473416,0.003435235,0.003428726,0.003429299,0.003428532,0.003392143,0.003319184,0.003216185,0.003111196,0.003010528,0.002906699,0.002789261,0.002656909
IIASA-WiC POP,SSP2_v9_130115,abw,ABW,Population|Male|Aged50-54,million,0.004214,0.004851175,0.004371655,0.00398862,0.003711971,0.004481131,0.004907588,0.005079841,0.004979635,0.004760681,0.004834749,0.004898422,0.005090666,0.004984066,0.004795672,0.004486528,0.004249971,0.004063549,0.0038963
IIASA-WiC POP,SSP2_v9_130115,abw,ABW,Population|Male|Aged55-59,million,0.003239,0.004103024,0.004727274,0.004290747,0.00394094,0.003689953,0.004453399,0.004882806,0.005060797,0.004971079,0.00476736,0.004837298,0.004900485,0.005090918,0.004982137,0.00479105,0.004479135,0.004239897,0.004051321
IIASA-WiC POP,SSP2_v9_130115,abw,ABW,Population|Male|Aged60-64,million,0.00237,0.003075818,0.0039036,0.004524639,0.004138804,0.003827401,0.003607208,0.004363051,0.004797178,0.004985272,0.004910658,0.004716052,0.004789569,0.00485827,0.005051918,0.004947847,0.004761206,0.004453492,0.004217829
IIASA-WiC POP,SSP2_v9_130115,abw,ABW,Population|Male|Aged65-69,million,0.00168,0.002157306,0.002822933,0.003611438,0.004224548,0.003900519,0.003636444,0.00345419,0.004200178,0.004641183,0.004843479,0.004789578,0.004613379,0.004697907,0.004777189,0.004978046,0.004884651,0.00470804,0.004410229
IIASA-WiC POP,SSP2_v9_130115,abw,ABW,Population|Male|Aged70-74,million,0.001291,0.001422705,0.001857346,0.002471677,0.003201499,0.003796254,0.003547417,0.003340863,0.003205867,0.003934098,0.004381451,0.004604596,0.004580765,0.004436622,0.004539897,0.004636386,0.004850107,0.004775272,0.004616808
IIASA-WiC POP,SSP2_v9_130115,abw,ABW,Population|Male|Aged75-79,million,8.21E-04,9.66E-04,0.001091703,0.001467819,0.002002051,0.002644595,0.003200191,0.003039676,0.002902156,0.002824203,0.003518548,0.00396844,0.004217419,0.004239309,0.004144237,0.004275782,0.004399745,0.004633384,0.004589592
IIASA-WiC POP,SSP2_v9_130115,abw,ABW,Population|Male|Aged80-84,million,3.61E-04,5.03E-04,6.20E-04,7.28E-04,0.001019392,0.001440326,0.001957886,0.002442628,0.002377069,0.002318048,0.002302334,0.00293254,0.003368653,0.003644384,0.003722085,0.003691101,0.003859343,0.004019037,0.004279338
IIASA-WiC POP,SSP2_v9_130115,abw,ABW,Population|Male|Aged85-89,million,1.44E-04,1.65E-04,2.43E-04,3.18E-04,3.94E-04,5.83E-04,8.64E-04,0.001227093,0.001596798,0.00161092,0.001621222,0.001658786,0.002179738,0.002576684,0.002862688,0.002994483,0.003037309,0.003241703,0.00344133
IIASA-WiC POP,SSP2_v9_130115,abw,ABW,Population|Male|Aged90-94,million,4.10E-05,4.30E-05,5.32E-05,8.41E-05,1.19E-04,1.58E-04,2.51E-04,3.98E-04,5.98E-04,8.25E-04,8.77E-04,9.24E-04,9.86E-04,0.001358005,0.001673477,0.001932164,0.002096091,0.002198689,0.002422488
IIASA-WiC POP,SSP2_v9_130115,abw,ABW,Population|Male|Aged95-99,million,5.00E-06,7.09E-06,8.12E-06,1.09E-05,1.88E-05,2.92E-05,4.21E-05,7.34E-05,1.26E-04,2.04E-04,3.05E-04,3.48E-04,3.91E-04,4.44E-04,6.52E-04,8.51E-04,0.001038623,0.001186641,0.001307997
IIASA-WiC POP,SSP2_v9_130115,afg,AFG,Population,million,31.4117429,35.75407623,40.60214168,45.94237956,51.68935999,57.63941499,63.59875498,69.46921977,75.16195756,80.64291608,85.82156153,90.68831748,95.12075051,99.19268736,102.8993861,106.1758838,108.9802871,111.2628559,113.0859784
IIASA-WiC POP,SSP2_v9_130115,afg,AFG,Population|Female,million,15.160172,17.2673668,19.6185277,22.20761847,24.99535515,27.88589752,30.78587741,33.65395165,36.4473178,39.15213077,41.72745936,44.16669461,46.40896754,48.48822586,50.39971447,52.11262252,53.59863528,54.83858093,55.84408143
IIASA-WiC POP,SSP2_v9_130115,afg,AFG,Population|Female|Aged0-4,million,2.693474,3.047469082,3.360590836,3.668896265,3.93328247,4.098907636,4.172390708,4.213484736,4.219890216,4.222363646,4.194073769,4.101671298,3.960724857,3.859529629,3.765805801,3.644889192,3.50885255,3.352074046,3.246551405
IIASA-WiC POP,SSP2_v9_130115,afg,AFG,Population|Female|Aged10-14,million,2.059346,2.255626631,2.455337591,2.804995854,3.123436895,3.438342849,3.714762839,3.896967972,3.98710409,4.050495099,4.07775195,4.099847561,4.090750176,4.015684925,3.889490793,3.800221177,3.715935568,3.603997064,3.475290126
IIASA-WiC POP,SSP2_v9_130115,afg,AFG,Population|Female|Aged100+,million,1.10E-05,1.44E-05,1.92E-05,2.18E-05,2.62E-05,3.25E-05,4.12E-05,6.40E-05,9.69E-05,1.35E-04,1.97E-04,2.89E-04,4.27E-04,6.39E-04,9.68E-04,0.001492054,0.002405061,0.004154579,0.00689232
IIASA-WiC POP,SSP2_v9_130115,afg,AFG,Population|Female|Aged15-19,million,1.688321,2.015503369,2.212337694,2.415101917,2.764507859,3.083861204,3.400339242,3.676775356,3.862230711,3.956131952,4.02291776,4.05474688,4.080874739,4.075261472,4.003504646,3.880180954,3.793384771,3.71150791,3.601370446
IIASA-WiC POP,SSP2_v9_130115,afg,AFG,Population|Female|Aged20-24,million,1.364142,1.636052517,1.957542239,2.15732301,2.362256012,2.711543365,3.032393263,3.348242758,3.627891569,3.817679737,3.916330628,3.989616089,4.027325568,4.058367933,4.057320749,3.989596413,3.870038268,3.78678898,3.70757012
IIASA-WiC POP,SSP2_v9_130115,afg,AFG,Population|Female|Aged25-29,million,1.10082,1.271513545,1.530630592,1.840345487,2.036946671,2.239737334,2.580108648,2.890742602,3.200364043,3.47560837,3.664569188,3.781772658,3.873903226,3.930689066,3.980546173,3.998126425,3.94933393,3.848550287,3.782080969
IIASA-WiC POP,SSP2_v9_130115,afg,AFG,Population|Female|Aged30-34,million,0.888752,1.018194406,1.182070177,1.43094442,1.727548118,1.92060764,2.120660832,2.448827085,2.752055645,3.054931454,3.325044975,3.528852081,3.663764521,3.774064086,3.849889666,3.918322261,3.954857937,3.92549211,3.842472882
IIASA-WiC POP,SSP2_v9_130115,afg,AFG,Population|Female|Aged35-39,million,0.724917,0.82601569,0.951353123,1.110670189,1.350780807,1.637445925,1.828233031,2.024465007,2.345723954,2.643846705,2.942170699,3.220581483,3.435684907,3.583911972,3.708215997,3.798227348,3.880926493,3.932349144,3.916576938
IIASA-WiC POP,SSP2_v9_130115,afg,AFG,Population|Female|Aged40-44,million,0.588581,0.676047664,0.77462112,0.896864272,1.051870217,1.284994345,1.563952408,1.751810853,1.947076153,2.263299877,2.557952882,2.860701681,3.145512961,3.369203827,3.527674675,3.662309393,3.763060414,3.85703695,3.918219281
IIASA-WiC POP,SSP2_v9_130115,afg,AFG,Population|Female|Aged45-49,million,0.473483,0.548463727,0.633509902,0.729563202,0.848406938,0.999497256,1.226437821,1.498205564,1.68474354,1.879184918,2.191285186,2.487778897,2.793688468,3.08344151,3.313885831,3.480164844,3.622952501,3.73277098,3.833753908
IIASA-WiC POP,SSP2_v9_130115,afg,AFG,Population|Female|Aged5-9,million,2.309685,2.508831916,2.857959696,3.17657398,3.490736329,3.765172304,3.945992331,4.031601769,4.090680156,4.113978236,4.130737563,4.116632709,4.037035597,3.906475385,3.813788028,3.726290143,3.611329963,3.480080627,3.328315555
IIASA-WiC POP,SSP2_v9_130115,afg,AFG,Population|Female|Aged50-54,million,0.377526,0.437525275,0.509773876,0.591150076,0.684316111,0.79933839,0.946260885,1.167138193,1.43183814,1.616699697,1.810101756,2.120434363,2.417353523,2.725248794,3.018630454,3.254261223,3.427081081,3.577346581,3.692771955
IIASA-WiC POP,SSP2_v9_130115,afg,AFG,Population|Female|Aged55-59,million,0.295697,0.342065355,0.399049076,0.466126887,0.54362786,0.632948748,0.743107087,0.886247816,1.098933527,1.354760184,1.536909027,1.729603087,2.035625811,2.331221235,2.639091103,2.934389847,3.173830075,3.352743671,3.507746257
IIASA-WiC POP,SSP2_v9_130115,afg,AFG,Population|Female|Aged60-64,million,0.234789,0.258641,0.301543229,0.35221128,0.414104837,0.486285917,0.570147804,0.676162165,0.811848574,1.013099955,1.256411613,1.434106953,1.622940982,1.920986878,2.211483952,2.516235687,2.810524812,3.051754686,3.234614659
IIASA-WiC POP,SSP2_v9_130115,afg,AFG,Population|Female|Aged65-69,million,0.163645,0.193688413,0.215361696,0.250852876,0.295388707,0.350189999,0.414842983,0.494238617,0.590312557,0.714701802,0.899070414,1.123667091,1.291783336,1.473064428,1.756052819,2.03624165,2.332049073,2.620619465,2.860651195
IIASA-WiC POP,SSP2_v9_130115,afg,AFG,Population|Female|Aged70-74,million,0.105366,0.122765265,0.146938176,0.162726551,0.191522495,0.227985621,0.273384043,0.331508842,0.399295064,0.481209085,0.589238837,0.749363716,0.945761136,1.099197744,1.266360522,1.526206172,1.787077091,2.065842367,2.341793537
IIASA-WiC POP,SSP2_v9_130115,afg,AFG,Population|Female|Aged75-79,million,0.057796,0.067985343,0.080394902,0.09539523,0.106998992,0.127743289,0.154434834,0.191557083,0.235927035,0.28840727,0.35212311,0.438108529,0.565429217,0.725266554,0.856092086,1.003180726,1.227511199,1.459221715,1.708949376
IIASA-WiC POP,SSP2_v9_130115,afg,AFG,Population|Female|Aged80-84,million,0.024739,0.029687279,0.035549164,0.041519951,0.050075679,0.057208403,0.069739534,0.088501315,0.1121684,0.141067953,0.176179629,0.219165386,0.278646516,0.368531417,0.483754113,0.586087781,0.702980714,0.881694531,1.068066768
IIASA-WiC POP,SSP2_v9_130115,afg,AFG,Population|Female|Aged85-89,million,0.007468,0.009229215,0.011339892,0.013263071,0.015836588,0.019532331,0.022900639,0.029893454,0.039005637,0.050809165,0.065778904,0.084586079,0.107933411,0.142087303,0.19442295,0.265212148,0.332648154,0.414757156,0.534383199
IIASA-WiC POP,SSP2_v9_130115,afg,AFG,Population|Female|Aged90-94,million,0.001448,0.001833055,0.002327153,0.002744269,0.003288703,0.004034146,0.005128165,0.006615287,0.008926952,0.012035906,0.016250648,0.021837515,0.029127449,0.038768753,0.053467113,0.077261997,0.110684092,0.147007652,0.19025738
IIASA-WiC POP,SSP2_v9_130115,afg,AFG,Population|Female|Aged95-99,million,1.66E-04,2.14E-04,2.78E-04,3.28E-04,3.97E-04,4.88E-04,6.19E-04,9.01E-04,0.001204945,0.001684823,0.002364309,0.00333167,0.004674086,0.006583873,0.009269086,0.013725081,0.021171531,0.03279043,0.045753153
IIASA-WiC POP,SSP2_v9_130115,afg,AFG,Population|Male,million,16.2515709,18.48670943,20.98361398,23.73476109,26.69400484,29.75351747,32.81287757,35.81526812,38.71463976,41.49078531,44.09410217,46.52162287,48.71178297,50.7044615,52.49967158,54.06326125,55.3816518,56.42427494,57.24189701
IIASA-WiC POP,SSP2_v9_130115,afg,AFG,Population|Male|Aged0-4,million,2.852494,3.228639322,3.561238386,3.893458348,4.177288214,4.35435623,4.434335408,4.471655844,4.476750838,4.475624359,4.44170945,4.340476543,4.188895139,4.080765409,3.981321417,3.854245997,3.711186964,3.547739346,3.435293851
IIASA-WiC POP,SSP2_v9_130115,afg,AFG,Population|Male|Aged10-14,million,2.207065,2.418166537,2.632026996,3.001760366,3.336361164,3.673651314,3.967321988,4.158917138,4.251885564,4.307809614,4.329598565,4.344804532,4.327594915,4.242566757,4.106074619,4.010670478,3.922183113,3.805567682,3.671793286
IIASA-WiC POP,SSP2_v9_130115,afg,AFG,Population|Male|Aged100+,million,5.00E-06,7.26E-06,1.13E-05,1.46E-05,1.91E-05,2.58E-05,3.57E-05,5.65E-05,8.88E-05,1.33E-04,2.03E-04,3.08E-04,4.59E-04,6.84E-04,0.001009545,0.001489795,0.002293965,0.003743645,0.005894267
IIASA-WiC POP,SSP2_v9_130115,afg,AFG,Population|Male|Aged15-19,million,1.8165,2.166435002,2.377665596,2.59336851,2.962158663,3.296857758,3.634719527,3.928015732,4.121820831,4.217592611,4.276192481,4.302232951,4.321367499,4.307879952,4.226557072,4.093510959,4.001106842,3.915663337,3.801120731
IIASA-WiC POP,SSP2_v9_130115,afg,AFG,Population|Male|Aged20-24,million,1.476984852,1.764578692,2.108382377,2.322183024,2.539461897,2.907497438,3.242988583,3.579692255,3.875053856,4.072101606,4.171765424,4.236599845,4.268687477,4.293294045,4.2850055,4.208617744,4.080169284,3.992218582,3.909738559
IIASA-WiC POP,SSP2_v9_130115,afg,AFG,Population|Male|Aged25-29,million,1.197069,1.379202363,1.65357004,1.985206702,2.194939655,2.409122371,2.767262432,3.091760335,3.42061661,3.710089386,3.905114828,4.023838811,4.108850599,4.161628803,4.206661718,4.218880587,4.163120704,4.055179662,3.985092529
IIASA-WiC POP,SSP2_v9_130115,afg,AFG,Population|Male|Aged30-34,million,0.971741,1.109257453,1.28473713,1.549246062,1.866902726,2.072260534,2.28283009,2.627800616,2.943633469,3.264061319,3.546761028,3.756534311,3.893734795,3.998443009,4.071753584,4.137121982,4.169870369,4.135164898,4.046240195
IIASA-WiC POP,SSP2_v9_130115,afg,AFG,Population|Male|Aged35-39,million,0.79574,0.903513439,1.03740016,1.208758783,1.464280044,1.771386207,1.974019721,2.180034608,2.517118446,2.82672179,3.141079247,3.431339916,3.652608061,3.803910995,3.923739375,4.012549669,4.093386534,4.142172207,4.122069234
IIASA-WiC POP,SSP2_v9_130115,afg,AFG,Population|Male|Aged40-44,million,0.645764065,0.739544205,0.845268447,0.97622909,1.143148827,1.391385383,1.690287104,1.889418387,2.094072006,2.425203071,2.730299076,3.048116795,3.34406583,3.574217255,3.736425387,3.867614141,3.968140175,4.061084576,4.120367899
IIASA-WiC POP,SSP2_v9_130115,afg,AFG,Population|Male|Aged45-49,million,0.51613,0.596236117,0.687766106,0.790938063,0.917888641,1.080521681,1.321862125,1.612097502,1.809454139,2.012694058,2.338121537,2.643801573,2.9632697,3.263102685,3.500143874,3.670852404,3.811164558,3.921204864,4.022012974
IIASA-WiC POP,SSP2_v9_130115,afg,AFG,Population|Male|Aged5-9,million,2.468074,2.682157034,3.052387377,3.387973993,3.725442637,4.017921154,4.208665032,4.298259022,4.350959676,4.369601118,4.379920411,4.357808355,4.268082837,4.126883739,4.027536509,3.935454849,3.815211943,3.678565908,3.520557633
IIASA-WiC POP,SSP2_v9_130115,afg,AFG,Population|Male|Aged50-54,million,0.40713,0.469975328,0.546899315,0.634076331,0.733520121,0.855440136,1.012951553,1.246295273,1.527021367,1.721312918,1.921735431,2.242565232,2.545983552,2.864742192,3.165980411,3.407831913,3.585790591,3.734150235,3.851161696
IIASA-WiC POP,SSP2_v9_130115,afg,AFG,Population|Male|Aged55-59,million,0.313135969,0.361229727,0.420783791,0.490945089,0.572959421,0.666975822,0.782044558,0.933958158,1.155497963,1.422836653,1.610989864,1.807569632,2.118727961,2.415989624,2.729700909,3.028403824,3.273081708,3.456605048,3.611512997
IIASA-WiC POP,SSP2_v9_130115,afg,AFG,Population|Male|Aged60-64,million,0.241619,0.266181257,0.310466168,0.362282282,0.42547671,0.500241588,0.586569556,0.695025177,0.835794218,1.040341341,1.287676312,1.466349972,1.653556054,1.948342882,2.232636634,2.534582154,2.825516053,3.067698173,3.256333212
IIASA-WiC POP,SSP2_v9_130115,afg,AFG,Population|Male|Aged65-69,million,0.162340016,0.191610949,0.214321411,0.250012193,0.29461849,0.348768584,0.413920472,0.493365403,0.588014238,0.712858552,0.893068164,1.113047716,1.275248151,1.44755078,1.716420836,1.979155853,2.261512125,2.534366552,2.772964114
IIASA-WiC POP,SSP2_v9_130115,afg,AFG,Population|Male|Aged70-74,million,0.100119,0.115862254,0.138825474,0.155455849,0.183909825,0.219611194,0.262959789,0.319531116,0.384442292,0.461654507,0.565068926,0.714609109,0.897889536,1.038135557,1.188816205,1.422164716,1.655170707,1.905340342,2.156377686
IIASA-WiC POP,SSP2_v9_130115,afg,AFG,Population|Male|Aged75-79,million,0.052078995,0.060717253,0.071580081,0.085403786,0.097742558,0.117929963,0.14362599,0.177521924,0.218964134,0.266955985,0.323788972,0.402247362,0.51495938,0.655647805,0.768044317,0.891241248,1.081179148,1.273528425,1.486175115
