"","GCAM_region_ID","Indicator.Name","region","year","value"
"66",2,"Population, female","Africa_Eastern","1962",33887057
"67",3,"Population, female","Africa_Northern","1962",29016116
"68",4,"Population, female","Africa_Southern","1962",18657614
"69",5,"Population, female","Africa_Western","1962",59333929
"70",6,"Population, female","Australia_NZ","1962",6556931
"71",7,"Population, female","Brazil","1962",38718365
"72",8,"Population, female","Canada","1962",9223459
"73",9,"Population, female","Central America and Caribbean","1962",16428612
"74",10,"Population, female","Central Asia","1962",18778308
"75",11,"Population, female","China","1962",327440891
"76",12,"Population, female","EU-12","1962",46316995
"77",13,"Population, female","EU-15","1962",167137198
"78",14,"Population, female","Europe_Eastern","1962",30052828
"79",15,"Population, female","Europe_Non_EU","1962",23528668
"80",16,"Population, female","European Free Trade Association","1962",4792645
"81",17,"Population, female","India","1962",225898332
"82",18,"Population, female","Indonesia","1962",46755916
"83",19,"Population, female","Japan","1962",48294311
"84",20,"Population, female","Mexico","1962",19240634
"85",21,"Population, female","Middle East","1962",25372329
"86",22,"Population, female","Pakistan","1962",22231652
"87",23,"Population, female","Russia","1962",67377496
"88",24,"Population, female","South Africa","1962",8532023
"89",25,"Population, female","South America_Northern","1962",4785440
"90",26,"Population, female","South America_Southern","1962",16294471
"91",27,"Population, female","South Asia","1962",40358795
"92",28,"Population, female","South Korea","1962",13210403
"93",29,"Population, female","Southeast Asia","1962",75426243
"94",30,"Population, total","Taiwan","1962",0
"95",31,"Population, female","Argentina","1962",10513699
"96",32,"Population, female","Colombia","1962",8373228
"97",1,"Population, female","USA","1963",97053367
"98",2,"Population, female","Africa_Eastern","1963",34848821
"99",3,"Population, female","Africa_Northern","1963",29682150
"100",4,"Population, female","Africa_Southern","1963",19120193
"101",5,"Population, female","Africa_Western","1963",60664322
"102",6,"Population, female","Australia_NZ","1963",6690807
"103",7,"Population, female","Brazil","1963",39893199
"104",8,"Population, female","Canada","1963",9409673
"105",9,"Population, female","Central America and Caribbean","1963",16838008
"106",10,"Population, female","Central Asia","1963",19367470
"107",11,"Population, female","China","1963",335768846
"108",12,"Population, female","EU-12","1963",46702696
"109",13,"Population, female","EU-15","1963",168452591
"110",14,"Population, female","Europe_Eastern","1963",30357480
"111",15,"Population, female","Europe_Non_EU","1963",24018307
"112",16,"Population, female","European Free Trade Association","1963",4866632
"113",17,"Population, female","India","1963",231120329
"114",18,"Population, female","Indonesia","1963",48049423
"115",19,"Population, female","Japan","1963",48778588
"116",20,"Population, female","Mexico","1963",19891387
"117",21,"Population, female","Middle East","1963",26147126
"118",22,"Population, female","Pakistan","1963",22798530
"119",23,"Population, female","Russia","1963",67994913
"120",24,"Population, female","South Africa","1963",8813888
"121",25,"Population, female","South America_Northern","1963",4952344
"122",26,"Population, female","South America_Southern","1963",16694385
"123",27,"Population, female","South Asia","1963",41486001
"124",28,"Population, female","South Korea","1963",13563924
"125",29,"Population, female","Southeast Asia","1963",77483009
"126",30,"Population, total","Taiwan","1963",0
"127",31,"Population, female","Argentina","1963",10694826
"128",32,"Population, female","Colombia","1963",8630444
"129",1,"Population, female","USA","1964",98522326
"130",2,"Population, female","Africa_Eastern","1964",35869877
"131",3,"Population, female","Africa_Northern","1964",30361371
"132",4,"Population, female","Africa_Southern","1964",19595254
"133",5,"Population, female","Africa_Western","1964",62039551
"134",6,"Population, female","Australia_NZ","1964",6828724
"135",7,"Population, female","Brazil","1964",41083812
"136",8,"Population, female","Canada","1964",9600426
"137",9,"Population, female","Central America and Caribbean","1964",17256914
"138",10,"Population, female","Central Asia","1964",19968112
"139",11,"Population, female","China","1964",343801169
"140",12,"Population, female","EU-12","1964",47114830
"141",13,"Population, female","EU-15","1964",169760790
"142",14,"Population, female","Europe_Eastern","1964",30650497
"143",15,"Population, female","Europe_Non_EU","1964",24500377
"144",16,"Population, female","European Free Trade Association","1964",4928302
"145",17,"Population, female","India","1964",236446379
"146",18,"Population, female","Indonesia","1964",49393533
"147",19,"Population, female","Japan","1964",49279989
"148",20,"Population, female","Mexico","1964",20568063
"149",21,"Population, female","Middle East","1964",26964248
"150",22,"Population, female","Pakistan","1964",23398883
"151",23,"Population, female","Russia","1964",68632629
"152",24,"Population, female","South Africa","1964",9107018
"153",25,"Population, female","South America_Northern","1964",5121654
"154",26,"Population, female","South America_Southern","1964",17102090
"155",27,"Population, female","South Asia","1964",42646107
"156",28,"Population, female","South Korea","1964",13904602
"157",29,"Population, female","Southeast Asia","1964",79577572
"158",30,"Population, total","Taiwan","1964",0
"159",31,"Population, female","Argentina","1964",10876693
"160",32,"Population, female","Colombia","1964",8891960
"161",1,"Population, female","USA","1965",99920040
"162",2,"Population, female","Africa_Eastern","1965",36938663
"163",3,"Population, female","Africa_Northern","1965",31050000
"164",4,"Population, female","Africa_Southern","1965",20079191
"165",5,"Population, female","Africa_Western","1965",63468775
"166",6,"Population, female","Australia_NZ","1965",6962198
"167",7,"Population, female","Brazil","1965",42281945
"168",8,"Population, female","Canada","1965",9786254
"169",9,"Population, female","Central America and Caribbean","1965",17684608
"170",10,"Population, female","Central Asia","1965",20561704
"171",11,"Population, female","China","1965",352238255
"172",12,"Population, female","EU-12","1965",47449964
"173",13,"Population, female","EU-15","1965",171103534
"174",14,"Population, female","Europe_Eastern","1965",30917885
"175",15,"Population, female","Europe_Non_EU","1965",24967257
"176",16,"Population, female","European Free Trade Association","1965",4976929
"177",17,"Population, female","India","1965",241740859
"178",18,"Population, female","Indonesia","1965",50670788
"179",19,"Population, female","Japan","1965",49804697
"180",20,"Population, female","Mexico","1965",21270482
"181",21,"Population, female","Middle East","1965",27815931
"182",22,"Population, female","Pakistan","1965",24030852
"183",23,"Population, female","Russia","1965",69293561
"184",24,"Population, female","South Africa","1965",9412255
"185",25,"Population, female","South America_Northern","1965",5293312
"186",26,"Population, female","South America_Southern","1965",17517681
"187",27,"Population, female","South Asia","1965",43840464
"188",28,"Population, female","South Korea","1965",14247148
"189",29,"Population, female","Southeast Asia","1965",81698295
"190",30,"Population, total","Taiwan","1965",0
"191",31,"Population, female","Argentina","1965",11058981
"192",32,"Population, female","Colombia","1965",9156915
"193",1,"Population, female","USA","1966",101314527
"194",2,"Population, female","Africa_Eastern","1966",38018019
"195",3,"Population, female","Africa_Northern","1966",31786965
"196",4,"Population, female","Africa_Southern","1966",20569365
"197",5,"Population, female","Africa_Western","1966",64951301
"198",6,"Population, female","Australia_NZ","1966",7119151
"199",7,"Population, female","Brazil","1966",43477993
"200",8,"Population, female","Canada","1966",9978791
"201",9,"Population, female","Central America and Caribbean","1966",18116725
"202",10,"Population, female","Central Asia","1966",21158111
"203",11,"Population, female","China","1966",362293152
"204",12,"Population, female","EU-12","1966",47778309
"205",13,"Population, female","EU-15","1966",172376698
"206",14,"Population, female","Europe_Eastern","1966",31173931
"207",15,"Population, female","Europe_Non_EU","1966",25465866
"208",16,"Population, female","European Free Trade Association","1966",5023784
"209",17,"Population, female","India","1966",246951009
"210",18,"Population, female","Indonesia","1966",51914171
"211",19,"Population, female","Japan","1966",50254891
"212",20,"Population, female","Mexico","1966",21991752
"213",21,"Population, female","Middle East","1966",28693485
"214",22,"Population, female","Pakistan","1966",24698014
"215",23,"Population, female","Russia","1966",69592893
"216",24,"Population, female","South Africa","1966",9726980
"217",25,"Population, female","South America_Northern","1966",5467607
"218",26,"Population, female","South America_Southern","1966",17937925
"219",27,"Population, female","South Asia","1966",45062778
"220",28,"Population, female","South Korea","1966",14605847
"221",29,"Population, female","Southeast Asia","1966",83835750
"222",30,"Population, total","Taiwan","1966",0
"223",31,"Population, female","Argentina","1966",11243003
"224",32,"Population, female","Colombia","1966",9421433
"225",1,"Population, female","USA","1967",102673908
"226",2,"Population, female","Africa_Eastern","1967",39135959
"227",3,"Population, female","Africa_Northern","1967",32582613
"228",4,"Population, female","Africa_Southern","1967",21068894
"229",5,"Population, female","Africa_Western","1967",66481386
"230",6,"Population, female","Australia_NZ","1967",7220586
"231",7,"Population, female","Brazil","1967",44668772
"232",8,"Population, female","Canada","1967",10166027
"233",9,"Population, female","Central America and Caribbean","1967",18552635
"234",10,"Population, female","Central Asia","1967",21750813
"235",11,"Population, female","China","1967",371838087
"236",12,"Population, female","EU-12","1967",48212363
"237",13,"Population, female","EU-15","1967",173510854
"238",14,"Population, female","Europe_Eastern","1967",31434979
"239",15,"Population, female","Europe_Non_EU","1967",25987741
"240",16,"Population, female","European Free Trade Association","1967",5077524
"241",17,"Population, female","India","1967",252216091
"242",18,"Population, female","Indonesia","1967",53261620
"243",19,"Population, female","Japan","1967",50768868
"244",20,"Population, female","Mexico","1967",22729882
"245",21,"Population, female","Middle East","1967",29628987
"246",22,"Population, female","Pakistan","1967",25401143
"247",23,"Population, female","Russia","1967",69906130
"248",24,"Population, female","South Africa","1967",10051232
"249",25,"Population, female","South America_Northern","1967",5644269
"250",26,"Population, female","South America_Southern","1967",18363393
"251",27,"Population, female","South Asia","1967",46334740
"252",28,"Population, female","South Korea","1967",14956378
"253",29,"Population, female","Southeast Asia","1967",85995456
"254",30,"Population, total","Taiwan","1967",0
"255",31,"Population, female","Argentina","1967",11429390
"256",32,"Population, female","Colombia","1967",9684298
"257",1,"Population, female","USA","1968",103884406
"258",2,"Population, female","Africa_Eastern","1968",40309638
"259",3,"Population, female","Africa_Northern","1968",33394559
"260",4,"Population, female","Africa_Southern","1968",21592111
"261",5,"Population, female","Africa_Western","1968",68067580
"262",6,"Population, female","Australia_NZ","1968",7341083
"263",7,"Population, female","Brazil","1968",45856024
"264",8,"Population, female","Canada","1968",10337254
"265",9,"Population, female","Central America and Caribbean","1968",18991683
"266",10,"Population, female","Central Asia","1968",22337966
"267",11,"Population, female","China","1968",381749341
"268",12,"Population, female","EU-12","1968",48621051
"269",13,"Population, female","EU-15","1968",174575285
"270",14,"Population, female","Europe_Eastern","1968",31680781
"271",15,"Population, female","Europe_Non_EU","1968",26520198
"272",16,"Population, female","European Free Trade Association","1968",5132167
"273",17,"Population, female","India","1968",257695427
"274",18,"Population, female","Indonesia","1968",54693876
"275",19,"Population, female","Japan","1968",51330606
"276",20,"Population, female","Mexico","1968",23486454
"277",21,"Population, female","Middle East","1968",30571381
"278",22,"Population, female","Pakistan","1968",26136537
"279",23,"Population, female","Russia","1968",70223577
"280",24,"Population, female","South Africa","1968",10385268
"281",25,"Population, female","South America_Northern","1968",5823358
"282",26,"Population, female","South America_Southern","1968",18795503
"283",27,"Population, female","South Asia","1968",47644405
"284",28,"Population, female","South Korea","1968",15313681
"285",29,"Population, female","Southeast Asia","1968",88176247
"286",30,"Population, total","Taiwan","1968",0
"287",31,"Population, female","Argentina","1968",11617792
"288",32,"Population, female","Colombia","1968",9945164
"289",1,"Population, female","USA","1969",104981775
"290",2,"Population, female","Africa_Eastern","1969",41516035
"291",3,"Population, female","Africa_Northern","1969",34215923
"292",4,"Population, female","Africa_Southern","1969",22153941
"293",5,"Population, female","Africa_Western","1969",69700684
"294",6,"Population, female","Australia_NZ","1969",7482567
"295",7,"Population, female","Brazil","1969",47045815
"296",8,"Population, female","Canada","1969",10486530
"297",9,"Population, female","Central America and Caribbean","1969",19433757
"298",10,"Population, female","Central Asia","1969",22911657
"299",11,"Population, female","China","1969",392388364
"300",12,"Population, female","EU-12","1969",48972274
"301",13,"Population, female","EU-15","1969",175649857
"302",14,"Population, female","Europe_Eastern","1969",31905019
"303",15,"Population, female","Europe_Non_EU","1969",27039229
"304",16,"Population, female","European Free Trade Association","1969",5183004
"305",17,"Population, female","India","1969",263380464
"306",18,"Population, female","Indonesia","1969",56192696
"307",19,"Population, female","Japan","1969",51928754
"308",20,"Population, female","Mexico","1969",24258520
"309",21,"Population, female","Middle East","1969",31565094
"310",22,"Population, female","Pakistan","1969",26900599
"311",23,"Population, female","Russia","1969",70547384
"312",24,"Population, female","South Africa","1969",10725797
"313",25,"Population, female","South America_Northern","1969",6004584
"314",26,"Population, female","South America_Southern","1969",19233944
"315",27,"Population, female","South Asia","1969",48948972
"316",28,"Population, female","South Korea","1969",15670972
"317",29,"Population, female","Southeast Asia","1969",90379816
"318",30,"Population, total","Taiwan","1969",0
"319",31,"Population, female","Argentina","1969",11808657
"320",32,"Population, female","Colombia","1969",10201733
"321",1,"Population, female","USA","1970",106201265
"322",2,"Population, female","Africa_Eastern","1970",42754875
"323",3,"Population, female","Africa_Northern","1970",35047148
"324",4,"Population, female","Africa_Southern","1970",22768014
"325",5,"Population, female","Africa_Western","1970",71385068
"326",6,"Population, female","Australia_NZ","1970",7625310
"327",7,"Population, female","Brazil","1970",48249510
"328",8,"Population, female","Canada","1970",10633366
"329",9,"Population, female","Central America and Caribbean","1970",19881157
"330",10,"Population, female","Central Asia","1970",23445379
"331",11,"Population, female","China","1970",403407829
"332",12,"Population, female","EU-12","1970",49231882
"333",13,"Population, female","EU-15","1970",176550558
"334",14,"Population, female","Europe_Eastern","1970",32118611
"335",15,"Population, female","Europe_Non_EU","1970",27522979
"336",16,"Population, female","European Free Trade Association","1970",5220918
"337",17,"Population, female","India","1970",269208897
"338",18,"Population, female","Indonesia","1970",57726007
"339",19,"Population, female","Japan","1970",52513428
"340",20,"Population, female","Mexico","1970",25046519
"341",21,"Population, female","Middle East","1970",32609224
"342",22,"Population, female","Pakistan","1970",27696448
"343",23,"Population, female","Russia","1970",70983282
"344",24,"Population, female","South Africa","1970",11070685
"345",25,"Population, female","South America_Northern","1970",6188171
"346",26,"Population, female","South America_Southern","1970",19661551
"347",27,"Population, female","South Asia","1970",50151836
"348",28,"Population, female","South Korea","1970",16023621
"349",29,"Population, female","Southeast Asia","1970",92577523
"350",30,"Population, total","Taiwan","1970",0
"351",31,"Population, female","Argentina","1970",12005045
"352",32,"Population, female","Colombia","1970",10455025
"353",1,"Population, female","USA","1971",107512732
"354",2,"Population, female","Africa_Eastern","1971",44021649
"355",3,"Population, female","Africa_Northern","1971",35885885
"356",4,"Population, female","Africa_Southern","1971",23442914
"357",5,"Population, female","Africa_Western","1971",73103475
"358",6,"Population, female","Australia_NZ","1971",7863829
"359",7,"Population, female","Brazil","1971",49466950
"360",8,"Population, female","Canada","1971",10944078
"361",9,"Population, female","Central America and Caribbean","1971",20331866
"362",10,"Population, female","Central Asia","1971",23950551
"363",11,"Population, female","China","1971",414644117
"364",12,"Population, female","EU-12","1971",49480632
"365",13,"Population, female","EU-15","1971",177435212
"366",14,"Population, female","Europe_Eastern","1971",32337659
"367",15,"Population, female","Europe_Non_EU","1971",27977867
"368",16,"Population, female","European Free Trade Association","1971",5252951
"369",17,"Population, female","India","1971",275180236
"370",18,"Population, female","Indonesia","1971",59280005
"371",19,"Population, female","Japan","1971",53660202
"372",20,"Population, female","Mexico","1971",25870987
"373",21,"Population, female","Middle East","1971",33681163
"374",22,"Population, female","Pakistan","1971",28496527
"375",23,"Population, female","Russia","1971",71428810
"376",24,"Population, female","South Africa","1971",11392269
"377",25,"Population, female","South America_Northern","1971",6374251
"378",26,"Population, female","South America_Southern","1971",20092891
"379",27,"Population, female","South Asia","1971",51090378
"380",28,"Population, female","South Korea","1971",16345322
"381",29,"Population, female","Southeast Asia","1971",94787446
"382",30,"Population, total","Taiwan","1971",0
"383",31,"Population, female","Argentina","1971",12208669
"384",32,"Population, female","Colombia","1971",10701994
"385",1,"Population, female","USA","1972",108662820
"386",2,"Population, female","Africa_Eastern","1972",45257976
"387",3,"Population, female","Africa_Northern","1972",36744057
"388",4,"Population, female","Africa_Southern","1972",24183678
"389",5,"Population, female","Africa_Western","1972",74875981
"390",6,"Population, female","Australia_NZ","1972",8011913
"391",7,"Population, female","Brazil","1972",50700362
"392",8,"Population, female","Canada","1972",11074818
"393",9,"Population, female","Central America and Caribbean","1972",20778161
"394",10,"Population, female","Central Asia","1972",24456368
"395",11,"Population, female","China","1972",424948169
"396",12,"Population, female","EU-12","1972",49839291
"397",13,"Population, female","EU-15","1972",178457264
"398",14,"Population, female","Europe_Eastern","1972",32554048
"399",15,"Population, female","Europe_Non_EU","1972",28412805
"400",16,"Population, female","European Free Trade Association","1972",5294830
"401",17,"Population, female","India","1972",281308597
"402",18,"Population, female","Indonesia","1972",60852641
"403",19,"Population, female","Japan","1972",54398884
"404",20,"Population, female","Mexico","1972",26731631
"405",21,"Population, female","Middle East","1972",34777866
"406",22,"Population, female","Pakistan","1972",29317529
"407",23,"Population, female","Russia","1972",71772657
"408",24,"Population, female","South Africa","1972",11690167
"409",25,"Population, female","South America_Northern","1972",6559893
"410",26,"Population, female","South America_Southern","1972",20546084
"411",27,"Population, female","South Asia","1972",52107907
"412",28,"Population, female","South Korea","1972",16652912
"413",29,"Population, female","Southeast Asia","1972",97043851
"414",30,"Population, total","Taiwan","1972",0
"415",31,"Population, female","Argentina","1972",12419477
"416",32,"Population, female","Colombia","1972",10945364
"417",1,"Population, female","USA","1973",109744262
"418",2,"Population, female","Africa_Eastern","1973",46521688
"419",3,"Population, female","Africa_Northern","1973",37638752
"420",4,"Population, female","Africa_Southern","1973",24980595
"421",5,"Population, female","Africa_Western","1973",76744745
"422",6,"Population, female","Australia_NZ","1973",8144318
"423",7,"Population, female","Brazil","1973",51955901
"424",8,"Population, female","Canada","1973",11220294
"425",9,"Population, female","Central America and Caribbean","1973",21221712
"426",10,"Population, female","Central Asia","1973",24969332
"427",11,"Population, female","China","1973",434778466
"428",12,"Population, female","EU-12","1973",50213886
"429",13,"Population, female","EU-15","1973",179378610
"430",14,"Population, female","Europe_Eastern","1973",32743623
"431",15,"Population, female","Europe_Non_EU","1973",28857748
"432",16,"Population, female","European Free Trade Association","1973",5336720
"433",17,"Population, female","India","1973",287642024
"434",18,"Population, female","Indonesia","1973",62447954
"435",19,"Population, female","Japan","1973",55150574
"436",20,"Population, female","Mexico","1973",27609964
"437",21,"Population, female","Middle East","1973",35945439
"438",22,"Population, female","Pakistan","1973",30194373
"439",23,"Population, female","Russia","1973",72109234
"440",24,"Population, female","South Africa","1973",11991274
"441",25,"Population, female","South America_Northern","1973",6746067
"442",26,"Population, female","South America_Southern","1973",21008325
"443",27,"Population, female","South Asia","1973",53391809
"444",28,"Population, female","South Korea","1973",16947289
"445",29,"Population, female","Southeast Asia","1973",99297660
"446",30,"Population, total","Taiwan","1973",0
"447",31,"Population, female","Argentina","1973",12639130
"448",32,"Population, female","Colombia","1973",11191768
"449",1,"Population, female","USA","1974",110814491
"450",2,"Population, female","Africa_Eastern","1974",47875248
"451",3,"Population, female","Africa_Northern","1974",38568627
"452",4,"Population, female","Africa_Southern","1974",25817470
"453",5,"Population, female","Africa_Western","1974",78716711
"454",6,"Population, female","Australia_NZ","1974",8350064
"455",7,"Population, female","Brazil","1974",53224988
"456",8,"Population, female","Canada","1974",11386049
"457",9,"Population, female","Central America and Caribbean","1974",21665822
"458",10,"Population, female","Central Asia","1974",25495140
"459",11,"Population, female","China","1974",443900395
"460",12,"Population, female","EU-12","1974",50621553
"461",13,"Population, female","EU-15","1974",180157213
"462",14,"Population, female","Europe_Eastern","1974",32920362
"463",15,"Population, female","Europe_Non_EU","1974",29298822
"464",16,"Population, female","European Free Trade Association","1974",5370950
"465",17,"Population, female","India","1974",294137889
"466",18,"Population, female","Indonesia","1974",64057961
"467",19,"Population, female","Japan","1974",55868603
"468",20,"Population, female","Mexico","1974",28506368
"469",21,"Population, female","Middle East","1974",37148894
"470",22,"Population, female","Pakistan","1974",31115326
"471",23,"Population, female","Russia","1974",72446480
"472",24,"Population, female","South Africa","1974",12297952
"473",25,"Population, female","South America_Northern","1974",6935988
"474",26,"Population, female","South America_Southern","1974",21478731
"475",27,"Population, female","South Asia","1974",54680248
"476",28,"Population, female","South Korea","1974",17235516
"477",29,"Population, female","Southeast Asia","1974",101502918
"478",30,"Population, total","Taiwan","1974",0
"479",31,"Population, female","Argentina","1974",12869638
"480",32,"Population, female","Colombia","1974",11439917
"481",1,"Population, female","USA","1975",111978549
"482",2,"Population, female","Africa_Eastern","1975",49257364
"483",3,"Population, female","Africa_Northern","1975",39628665
"484",4,"Population, female","Africa_Southern","1975",26693504
"485",5,"Population, female","Africa_Western","1975",80797909
"486",6,"Population, female","Australia_NZ","1975",8470289
"487",7,"Population, female","Brazil","1975",54509482
"488",8,"Population, female","Canada","1975",11562890
"489",9,"Population, female","Central America and Caribbean","1975",22109412
"490",10,"Population, female","Central Asia","1975",26026621
"491",11,"Population, female","China","1975",451860101
"492",12,"Population, female","EU-12","1975",51076578
"493",13,"Population, female","EU-15","1975",180837545
"494",14,"Population, female","Europe_Eastern","1975",33090093
"495",15,"Population, female","Europe_Non_EU","1975",29734448
"496",16,"Population, female","European Free Trade Association","1975",5385179
"497",17,"Population, female","India","1975",300723268
"498",18,"Population, female","Indonesia","1975",65683015
"499",19,"Population, female","Japan","1975",56567115
"500",20,"Population, female","Mexico","1975",29419648
"501",21,"Population, female","Middle East","1975",38371277
"502",22,"Population, female","Pakistan","1975",32093585
"503",23,"Population, female","Russia","1975",72786254
"504",24,"Population, female","South Africa","1975",12610329
"505",25,"Population, female","South America_Northern","1975",7129945
"506",26,"Population, female","South America_Southern","1975",21956280
"507",27,"Population, female","South Asia","1975",55967447
"508",28,"Population, female","South Korea","1975",17526507
"509",29,"Population, female","Southeast Asia","1975",103668765
"510",30,"Population, total","Taiwan","1975",0
"511",31,"Population, female","Argentina","1975",13096382
"512",32,"Population, female","Colombia","1975",11690305
"513",1,"Population, female","USA","1976",113112124
"514",2,"Population, female","Africa_Eastern","1976",50686977
"515",3,"Population, female","Africa_Northern","1976",40813974
"516",4,"Population, female","Africa_Southern","1976",27604250
"517",5,"Population, female","Africa_Western","1976",82938533
"518",6,"Population, female","Australia_NZ","1976",8561083
"519",7,"Population, female","Brazil","1976",55819649
"520",8,"Population, female","Canada","1976",11727923
"521",9,"Population, female","Central America and Caribbean","1976",22553521
"522",10,"Population, female","Central Asia","1976",26567472
"523",11,"Population, female","China","1976",458952975
"524",12,"Population, female","EU-12","1976",51533918
"525",13,"Population, female","EU-15","1976",181423220
"526",14,"Population, female","Europe_Eastern","1976",33238181
"527",15,"Population, female","Europe_Non_EU","1976",30249566
"528",16,"Population, female","European Free Trade Association","1976",5380644
"529",17,"Population, female","India","1976",307373867
"530",18,"Population, female","Indonesia","1976",67328209
"531",19,"Population, female","Japan","1976",57165192
"532",20,"Population, female","Mexico","1976",30346083
"533",21,"Population, female","Middle East","1976",39779140
"534",22,"Population, female","Pakistan","1976",33135180
"535",23,"Population, female","Russia","1976",73214184
"536",24,"Population, female","South Africa","1976",12931705
"537",25,"Population, female","South America_Northern","1976",7328257
"538",26,"Population, female","South America_Southern","1976",22438264
"539",27,"Population, female","South Asia","1976",57242585
"540",28,"Population, female","South Korea","1976",17817685
"541",29,"Population, female","Southeast Asia","1976",105828946
"542",30,"Population, total","Taiwan","1976",0
"543",31,"Population, female","Argentina","1976",13315154
"544",32,"Population, female","Colombia","1976",11942621
"545",1,"Population, female","USA","1977",114317584
"546",2,"Population, female","Africa_Eastern","1977",52081398
"547",3,"Population, female","Africa_Northern","1977",41960693
"548",4,"Population, female","Africa_Southern","1977",28559009
"549",5,"Population, female","Africa_Western","1977",85166833
"550",6,"Population, female","Australia_NZ","1977",8653215
"551",7,"Population, female","Brazil","1977",57163358
"552",8,"Population, female","Canada","1977",11879181
"553",9,"Population, female","Central America and Caribbean","1977",22998371
"554",10,"Population, female","Central Asia","1977",27125853
"555",11,"Population, female","China","1977",465308537
"556",12,"Population, female","EU-12","1977",51952397
"557",13,"Population, female","EU-15","1977",181965984
"558",14,"Population, female","Europe_Eastern","1977",33369814
"559",15,"Population, female","Europe_Non_EU","1977",30832481
"560",16,"Population, female","European Free Trade Association","1977",5382121
"561",17,"Population, female","India","1977",314189303
"562",18,"Population, female","Indonesia","1977",68989822
"563",19,"Population, female","Japan","1977",57714402
"564",20,"Population, female","Mexico","1977",31291999
"565",21,"Population, female","Middle East","1977",41254275
"566",22,"Population, female","Pakistan","1977",34234632
"567",23,"Population, female","Russia","1977",73628754
"568",24,"Population, female","South Africa","1977",13245666
"569",25,"Population, female","South America_Northern","1977",7531014
"570",26,"Population, female","South America_Southern","1977",22928872
"571",27,"Population, female","South Asia","1977",58557805
"572",28,"Population, female","South Korea","1977",18112175
"573",29,"Population, female","Southeast Asia","1977",108111397
"574",30,"Population, total","Taiwan","1977",0
"575",31,"Population, female","Argentina","1977",13538001
"576",32,"Population, female","Colombia","1977",12206091
"577",1,"Population, female","USA","1978",115602450
"578",2,"Population, female","Africa_Eastern","1978",53601529
"579",3,"Population, female","Africa_Northern","1978",43082645
"580",4,"Population, female","Africa_Southern","1978",29550742
"581",5,"Population, female","Africa_Western","1978",87595122
